id,genre,track_name,artist_name,album_name,album_cover,release_date,preview_link,spotify_link,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,playlist_mood
5oCMnpuRd3rUL9clNWbjr0,acoustic,My Hero - Live,Foo Fighters,Skin And Bones,https://i.scdn.co/image/ab67616d0000b2739b0fe5368da44ee2f5518c16,2006-11-07,,https://open.spotify.com/track/5oCMnpuRd3rUL9clNWbjr0,0.0137,0.312,0.812,0.000405,0.96,-6.162,0.0566,134.414,0.184,Angry
13ETkZ90sElK5xJuB4cUEt,acoustic,Bonfire Heart,James Blunt,Moon Landing (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b273bd82db17ce19198157a5ba9c,2013-10-18,,https://open.spotify.com/track/13ETkZ90sElK5xJuB4cUEt,0.181,0.575,0.821,0.0,0.124,-5.7,0.0527,118.021,0.449,Angry
6YxRTkyPebNVzd2VAEQFF3,afrobeat,Eko,Fela Kuti,The '69 Los Angeles Sessions,https://i.scdn.co/image/ab67616d0000b273d4cb32fa83ac3606e95774b9,1994,https://p.scdn.co/mp3-preview/562f191295564737f9adf73a91c5bf5370e8eab2?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/6YxRTkyPebNVzd2VAEQFF3,0.00594,0.351,0.867,0.394,0.0668,-5.791,0.223,192.853,0.894,Angry
19pQaJUSEtn31fpO6RozaH,alt-rock,A Million Little Pieces,Placebo,Loud Like Love,https://i.scdn.co/image/ab67616d0000b27399c037e5b139fc1d8d5587c8,2013-01-01,,https://open.spotify.com/track/19pQaJUSEtn31fpO6RozaH,0.0062,0.531,0.858,0.0434,0.204,-6.589,0.0326,174.007,0.606,Angry
0EYOdF5FCkgOJJla8DI2Md,alt-rock,B.Y.O.B.,System Of A Down,Mezmerize,https://i.scdn.co/image/ab67616d0000b273c65f8d04502eeddbdd61fa71,2005-05-17,https://p.scdn.co/mp3-preview/6d17f13307a49b61fe2c8bf854db13523d1234f2?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/0EYOdF5FCkgOJJla8DI2Md,0.00662,0.538,0.981,0.0,0.219,-2.688,0.14,101.414,0.711,Angry
5kwVVnZ8ZjJanBbGmrbHsb,alt-rock,She Builds Quick Machines,Velvet Revolver,Libertad,https://i.scdn.co/image/ab67616d0000b273e50ed9b15b7f40f7fcae1c9f,2007-07-03,https://p.scdn.co/mp3-preview/698a82daf29d1387f557db00d0dcc0fd8de64f67?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/5kwVVnZ8ZjJanBbGmrbHsb,0.000193,0.333,0.883,0.259,0.313,-4.486,0.0403,148.818,0.673,Angry
77EwrXeCpbMMlWHqhdeFxJ,alt-rock,I Will Dare,The Replacements,Let It Be,https://i.scdn.co/image/ab67616d0000b27328568821149cb83f47c2f5f7,1984-10-02,https://p.scdn.co/mp3-preview/485ac1a08a073ddf76d66d12d921f861b972e7ed?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/77EwrXeCpbMMlWHqhdeFxJ,0.00104,0.427,0.932,0.0257,0.195,-4.174,0.106,167.412,0.551,Angry
5ghIJDpPoe3CfHMGu71E6T,alt-rock,Smells Like Teen Spirit,Nirvana,Nevermind (Remastered),https://i.scdn.co/image/ab67616d0000b273e175a19e530c898d167d39bf,1991-09-26,,https://open.spotify.com/track/5ghIJDpPoe3CfHMGu71E6T,2.55e-05,0.502,0.912,0.000173,0.106,-4.556,0.0564,116.761,0.72,Angry
1gVAnEOoKr7wMckXpzosdQ,alt-rock,Blow Me Away - Featuring Valora,"Breaking Benjamin,Valora",Shallow Bay: The Best Of Breaking Benjamin Deluxe Edition (Explicit),https://i.scdn.co/image/ab67616d0000b273bcf62d621f0db9bf57b40ddd,2011-01-01,,https://open.spotify.com/track/1gVAnEOoKr7wMckXpzosdQ,3.25e-05,0.535,0.93,0.0193,0.0787,-3.829,0.0545,98.959,0.516,Angry
1EiKmk4AwuNG2CmhQcCJ8k,alt-rock,Vad Hände Med Dem?,The Brian Jonestown Massacre,Revelation,https://i.scdn.co/image/ab67616d0000b2732a7528d049295715afcddf72,2014-05-19,,https://open.spotify.com/track/1EiKmk4AwuNG2CmhQcCJ8k,0.000198,0.412,0.94,0.454,0.128,-4.566,0.0405,79.891,0.847,Angry
7kF1iPJTj3VFJX9XokQ80F,alt-rock,Slither,Velvet Revolver,Contraband,https://i.scdn.co/image/ab67616d0000b273e7d4bfff8e7e87c6090591b6,2004,https://p.scdn.co/mp3-preview/62410ac8addb687768ec533d704ceeedb3abc52d?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/7kF1iPJTj3VFJX9XokQ80F,0.000266,0.478,0.974,0.0984,0.0738,-3.866,0.102,141.077,0.268,Angry
4KoNBTm9a55KgLMtEaf3n6,alt-rock,If You Could Only See,Tonic,Lemon Parade,https://i.scdn.co/image/ab67616d0000b273f9a205a1a377506ff51b1a25,1996-07-15,,https://open.spotify.com/track/4KoNBTm9a55KgLMtEaf3n6,0.00264,0.433,0.946,0.0,0.198,-5.138,0.0398,95.169,0.578,Angry
2V4Bc2I962j7acQj1N0PiQ,alt-rock,Celebrity Skin,Hole,Celebrity Skin,https://i.scdn.co/image/ab67616d0000b2730649124c37ce988317263671,1998-01-01,,https://open.spotify.com/track/2V4Bc2I962j7acQj1N0PiQ,9.44e-06,0.438,0.905,5.4e-05,0.363,-6.161,0.0419,134.163,0.723,Angry
2VSbEXqs6NbNiZSTcHlIDR,alt-rock,My Sacrifice,Creed,Weathered,https://i.scdn.co/image/ab67616d0000b273a32f2ae4dade83e0d7a294f4,2001-01-01,,https://open.spotify.com/track/2VSbEXqs6NbNiZSTcHlIDR,0.000101,0.32,0.88,4.31e-06,0.076,-6.035,0.0504,146.349,0.257,Angry
7cz70nyRXlCJOE85whEkgU,alt-rock,Flagpole Sitta,Harvey Danger,Where Have All The Merrymakers Gone?,https://i.scdn.co/image/ab67616d0000b273868d99be4de6929eeac899ba,1997-01-01,,https://open.spotify.com/track/7cz70nyRXlCJOE85whEkgU,0.00152,0.361,0.901,0.000263,0.286,-4.133,0.0443,144.97,0.482,Angry
3dN6yDtyNu55dqoygX4AQ5,alt-rock,Nearly Lost You,Screaming Trees,Ocean Of Confusion - Songs Of Screaming Trees 1990-1996,https://i.scdn.co/image/ab67616d0000b2732a627e136eb4d8d3c8a6fa24,1990,https://p.scdn.co/mp3-preview/7b592b2ace8c52a7a3d9f8186b37010bfce0868e?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/3dN6yDtyNu55dqoygX4AQ5,3.92e-05,0.183,0.968,2.5e-05,0.295,-3.931,0.113,202.032,0.334,Angry
72mrNRtJL3kwVJP2WIFbsd,alt-rock,I Don't Know You Anymore,Bob Mould,Beauty & Ruin,https://i.scdn.co/image/ab67616d0000b2737a8725ff790516f1cb596c8e,2014-06-03,,https://open.spotify.com/track/72mrNRtJL3kwVJP2WIFbsd,0.00364,0.455,0.979,0.0118,0.491,-4.517,0.0499,141.974,0.538,Angry
4m2Zno6OfdntQZp8CpFxcM,alt-rock,Cold Summer,Fuel,Puppet Strings,https://i.scdn.co/image/ab67616d0000b273ea97b8669446502ebc54336d,2013,https://p.scdn.co/mp3-preview/8be2ea1f731be35c712161b4461a3fb61d7be711?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/4m2Zno6OfdntQZp8CpFxcM,1.1e-05,0.41,0.971,0.000161,0.048,-2.765,0.114,104.022,0.624,Angry
5xC8uOesnn0udeXAYlAnoY,alt-rock,Alright,Supergrass,I Should Coco,https://i.scdn.co/image/ab67616d0000b2737d2fd2378160e40c96bc61ff,1995-05-15,https://p.scdn.co/mp3-preview/714f2bc860f048f95bfcd68e685292e749b49fb0?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/5xC8uOesnn0udeXAYlAnoY,0.000479,0.467,0.958,0.199,0.299,-4.808,0.0775,145.92,0.701,Angry
