id,genre,track_name,artist_name,album_name,album_cover,release_date,preview_link,spotify_link,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,playlist_mood
5mb6SzBnxv1ywFSH9V3uxd,acoustic,Delicate,Damien Rice,O,https://i.scdn.co/image/ab67616d0000b2735699ca5a7af862fa5a522016,2003-06-03,https://p.scdn.co/mp3-preview/b9953e45ec2c873e3ad56a3738806323139a0459?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/5mb6SzBnxv1ywFSH9V3uxd,0.684,0.34,0.144,0.00112,0.101,-14.502,0.0419,81.179,0.147,Depressed
5E3jbxmonQ370P93Qdfy5Y,acoustic,Paper Aeroplane,Angus & Julia Stone,Heart Full of Wine,https://i.scdn.co/image/ab67616d0000b27364f5ca59e44d6f21f98fe993,2007-03-04,,https://open.spotify.com/track/5E3jbxmonQ370P93Qdfy5Y,0.594,0.805,0.416,0.219,0.106,-14.383,0.0982,104.102,0.352,Depressed
3KnQSveB0TCz2Lu3TaJWMJ,acoustic,Walking on a Dream,Kate Miller-Heidke,Live at the HI-FI,https://i.scdn.co/image/ab67616d0000b273b3f4ec2e06a9cdb5eb1676b1,2009-10-12,https://p.scdn.co/mp3-preview/596594eeabf8a08b34a6eb1289d17894ab9df0cb?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/3KnQSveB0TCz2Lu3TaJWMJ,0.891,0.503,0.294,0.0,0.0983,-11.439,0.1,81.68,0.0974,Depressed
6qTmjG7thRJEOaUKFmfjGR,acoustic,The Last Day on Earth,Kate Miller-Heidke,Curiouser,https://i.scdn.co/image/ab67616d0000b273070a426fe63d5f2fa2ea55ac,2008-10-18,https://p.scdn.co/mp3-preview/54a8943a0fadc745e3367694466c6206b854d0a9?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/6qTmjG7thRJEOaUKFmfjGR,0.564,0.61,0.44,0.000897,0.0923,-7.864,0.0256,79.002,0.168,Depressed
2tKKxF5LTNcSlVtrLSlaMD,acoustic,The General,DISPATCH,Bang Bang [Remastered],https://i.scdn.co/image/ab67616d0000b27339104b0864d1dc0acafcc35c,2004-10-26,,https://open.spotify.com/track/2tKKxF5LTNcSlVtrLSlaMD,0.407,0.599,0.673,0.0,0.105,-5.964,0.182,93.246,0.66,Depressed
5gBIDzjs9bdZ1z8ZBGFzrv,acoustic,Perfect Day - Live,Lou Reed,Perfect Night Live in London,https://i.scdn.co/image/ab67616d0000b2735c8435ca859316ec46254ff3,1998-04-17,https://p.scdn.co/mp3-preview/6b6bebc3bec68be9a48041b381f225bcf38bfbb3?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/5gBIDzjs9bdZ1z8ZBGFzrv,0.356,0.419,0.321,0.0636,0.972,-10.686,0.0294,156.408,0.146,Depressed
5Szn0p3DlnawyuhX8ULCg4,acoustic,Orange Sky,Alexi Murdoch,Four Songs,https://i.scdn.co/image/ab67616d0000b273e27bd9e5dc24d743c1b3c599,2002-01-01,,https://open.spotify.com/track/5Szn0p3DlnawyuhX8ULCg4,0.797,0.685,0.15,0.0461,0.1,-20.543,0.039,124.956,0.125,Depressed
508HOiphnDt26e8ylIQlwP,acoustic,Jag gråter bara i regnet - Akustisk version,Newkid,Jag gråter bara i regnet,https://i.scdn.co/image/ab67616d0000b273db555bdd6b557926f890afcc,2011-09-02,,https://open.spotify.com/track/508HOiphnDt26e8ylIQlwP,0.952,0.415,0.248,2.08e-06,0.138,-12.789,0.0341,122.263,0.41,Depressed
6oeuEHxwfbqu5xIJrcbPzN,acoustic,Perth,Bon Iver,Bon Iver,https://i.scdn.co/image/ab67616d0000b273f68c287d90dce06539309986,2011-05-21,,https://open.spotify.com/track/6oeuEHxwfbqu5xIJrcbPzN,0.86,0.491,0.457,0.444,0.307,-14.473,0.0456,120.019,0.0806,Depressed
02iZJRlOZ7VRbzO8uVdOva,acoustic,In the Stream,S. Carey,All We Grow,https://i.scdn.co/image/ab67616d0000b2737af48c4e647b9f13efe4e092,2010-08-24,,https://open.spotify.com/track/02iZJRlOZ7VRbzO8uVdOva,0.951,0.462,0.244,0.173,0.12,-16.96,0.029,100.142,0.078,Depressed
