id,genre,track_name,artist_name,album_name,album_cover,release_date,preview_link,spotify_link,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,playlist_mood
6jzWyXK9O7DoNWYRN99NMV,acoustic,Private Investigations - Edit,Dire Straits,The Best of Dire Straits & Mark Knopfler - Private Investigations (Limited Edition),https://i.scdn.co/image/ab67616d0000b27311cd3607f236dd71b56b1029,2005-11-07,,https://open.spotify.com/track/6jzWyXK9O7DoNWYRN99NMV,0.589,0.612,0.163,0.663,0.0745,-17.64,0.0337,84.654,0.0696,Sleepy
4owSUnc0zWYZQ6VWcjYd31,ambient,Blue Embers,Cell,Fahrenheit Project Part Five,https://i.scdn.co/image/ab67616d0000b27329d652eadd9d409b1d1c69cc,2005-02-01,,https://open.spotify.com/track/4owSUnc0zWYZQ6VWcjYd31,0.674,0.249,0.412,0.821,0.147,-19.669,0.0442,89.221,0.15,Sleepy
7FYbiwCEaxSEp2iAeteqUJ,ambient,December Hunting for Vegetarian Fuckface,Stars Of The Lid,And Their Refinement of the Decline,https://i.scdn.co/image/ab67616d0000b273d6eb832295ddf386c825fdba,2007-04-02,https://p.scdn.co/mp3-preview/a40e862735b0b37e6af39b6240e307881b591c97?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/7FYbiwCEaxSEp2iAeteqUJ,0.376,0.14,0.0925,0.942,0.292,-22.711,0.0466,140.441,0.0336,Sleepy
0JjiFVcNMWRSRWFryj4Cwv,ambient,There is no spoon,Sync24,Comfortable Void,https://i.scdn.co/image/ab67616d0000b2730f4ca26dbec22bbf055288b1,2012-06-28,,https://open.spotify.com/track/0JjiFVcNMWRSRWFryj4Cwv,0.783,0.167,0.169,0.84,0.195,-21.587,0.0389,73.586,0.0358,Sleepy
5yLM6k78rQlppC0UB4UIKf,ambient,The Third Planet,Biosphere,Compilation 1991-2004,https://i.scdn.co/image/ab67616d0000b273436640fd49d2ac66de9732e2,2012-02-23,,https://open.spotify.com/track/5yLM6k78rQlppC0UB4UIKf,0.946,0.721,0.25,0.854,0.109,-19.016,0.0354,130.018,0.306,Sleepy
4upUGbQVqH0qlhEmCM79f1,ambient,Second Narrows,Loscil,Sketches from New Brighton,https://i.scdn.co/image/ab67616d0000b27310889e25a44ce03fe2d92042,2012-09-10,https://p.scdn.co/mp3-preview/4513340800ab340c8e25c9e77b78c819480f70b0?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/4upUGbQVqH0qlhEmCM79f1,0.881,0.342,0.215,0.802,0.106,-23.566,0.0431,119.954,0.146,Sleepy
2zbt8cQf1EFoKlkbkKRz5V,ambient,By the Wall,Tomáš Dvořák,Machinarium Soundtrack,https://i.scdn.co/image/ab67616d0000b273dd0ef93e4a39e112fae7a2b1,2012-01-31,https://p.scdn.co/mp3-preview/44d0c3eaf25edcbe4efe56803b89a8e8d6fa9422?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/2zbt8cQf1EFoKlkbkKRz5V,0.553,0.0673,0.174,0.883,0.111,-20.386,0.0429,60.248,0.032,Sleepy
2pN0C4dICHk5z2KRS3c66l,ambient,Sea,Patrick O'Hearn,Transitions,https://i.scdn.co/image/ab67616d0000b2731f17fa8032fa3497b477be8e,2011-08-23,https://p.scdn.co/mp3-preview/124c52cbc7f538ad6524e30b8a7d6c3ddff4462a?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/2pN0C4dICHk5z2KRS3c66l,0.889,0.0602,0.0942,0.806,0.0783,-22.041,0.0437,63.052,0.0361,Sleepy
50mL6pbI0uI6YX1xbSer7g,ambient,Deep Blue Day - Remastered 2005,Brian Eno,Apollo,https://i.scdn.co/image/ab67616d0000b273f2b52822fe54084cf07bfe02,1983-07-01,,https://open.spotify.com/track/50mL6pbI0uI6YX1xbSer7g,0.817,0.189,0.343,0.916,0.0924,-20.314,0.0453,141.659,0.0834,Sleepy
0TRq2ogAfvdVXKnZ6yvv9O,ambient,Nightfalls,Hecq,Night Falls,https://i.scdn.co/image/ab67616d0000b273635c8d52c211320ad6ddb25c,2008-04-18,,https://open.spotify.com/track/0TRq2ogAfvdVXKnZ6yvv9O,0.797,0.147,0.0979,0.935,0.0788,-22.11,0.0486,82.203,0.028,Sleepy
