id,genre,track_name,artist_name,album_name,album_cover,release_date,preview_link,spotify_link,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,playlist_mood
0vWjNkwgkTnyzfeLdTKWJ7,acoustic,Roar,"Alex Goot,Sam Tsui",Roar,https://i.scdn.co/image/ab67616d0000b273742fa66ee819dd42a75ccf45,2013-09-17,https://p.scdn.co/mp3-preview/bf9138f2eb6dbed36d5f556f4be29b6dba5e0d4f?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/0vWjNkwgkTnyzfeLdTKWJ7,0.695,0.64,0.394,0.0,0.0741,-7.258,0.0263,89.963,0.425,Sad
1NdgDGYG4J827IvfeDgF4o,acoustic,Dear Mr. President,P!nk,The People Speak,https://i.scdn.co/image/ab67616d0000b27380f5f93b4c90c205b677b824,2009-01-01,,https://open.spotify.com/track/1NdgDGYG4J827IvfeDgF4o,0.849,0.476,0.299,0.0,0.113,-9.154,0.0385,128.039,0.297,Sad
5mb6SzBnxv1ywFSH9V3uxd,acoustic,Delicate,Damien Rice,O,https://i.scdn.co/image/ab67616d0000b2735699ca5a7af862fa5a522016,2003-06-03,https://p.scdn.co/mp3-preview/b9953e45ec2c873e3ad56a3738806323139a0459?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/5mb6SzBnxv1ywFSH9V3uxd,0.684,0.34,0.144,0.00112,0.101,-14.502,0.0419,81.179,0.147,Sad
5E3jbxmonQ370P93Qdfy5Y,acoustic,Paper Aeroplane,Angus & Julia Stone,Heart Full of Wine,https://i.scdn.co/image/ab67616d0000b27364f5ca59e44d6f21f98fe993,2007-03-04,,https://open.spotify.com/track/5E3jbxmonQ370P93Qdfy5Y,0.594,0.805,0.416,0.219,0.106,-14.383,0.0982,104.102,0.352,Sad
6ERQqdIkr7Rp4tt52Eep6r,acoustic,The Look Of Love,Diana Krall,The Very Best Of Diana Krall (UK Version),https://i.scdn.co/image/ab67616d0000b273a2432efda72565b9aa1a4a24,2007-09-14,,https://open.spotify.com/track/6ERQqdIkr7Rp4tt52Eep6r,0.649,0.585,0.266,0.00554,0.0903,-14.692,0.0271,93.009,0.366,Sad
0YywjDvFudcaHG74NuWISy,acoustic,People Help the People,Birdy,Birdy,https://i.scdn.co/image/ab67616d0000b273cdebae610076f51e8b7b20f4,2011-11-04,https://p.scdn.co/mp3-preview/663064b48e3517ab232dd4618308db2d9b41889f?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/0YywjDvFudcaHG74NuWISy,0.778,0.407,0.308,1.46e-05,0.092,-9.001,0.0296,73.254,0.153,Sad
3KnQSveB0TCz2Lu3TaJWMJ,acoustic,Walking on a Dream,Kate Miller-Heidke,Live at the HI-FI,https://i.scdn.co/image/ab67616d0000b273b3f4ec2e06a9cdb5eb1676b1,2009-10-12,https://p.scdn.co/mp3-preview/596594eeabf8a08b34a6eb1289d17894ab9df0cb?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/3KnQSveB0TCz2Lu3TaJWMJ,0.891,0.503,0.294,0.0,0.0983,-11.439,0.1,81.68,0.0974,Sad
2xDDetMrYexhj1gKK634iC,acoustic,Don't You Worry Child,"Kurt Hugo Schneider,Sam Tsui",Don't You Worry Child,https://i.scdn.co/image/ab67616d0000b273dc2d3977a2806e71f17abab8,2013-01-11,https://p.scdn.co/mp3-preview/50f05425ce2bf4f2a4bb9763c5d8081a2c3c43e9?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/2xDDetMrYexhj1gKK634iC,0.804,0.518,0.386,0.0,0.633,-9.294,0.0321,124.968,0.287,Sad
0nJW01T7XtvILxQgC5J7Wh,acoustic,When I Was Your Man,Bruno Mars,Unorthodox Jukebox,https://i.scdn.co/image/ab67616d0000b273926f43e7cce571e62720fd46,2012-12-07,https://p.scdn.co/mp3-preview/512a0d69ca896f94f78859bb2e25b42d3836110e?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/0nJW01T7XtvILxQgC5J7Wh,0.932,0.612,0.28,0.0,0.088,-8.648,0.0434,72.795,0.387,Sad
37z3ghNvcoPvHypKWTb2Sz,acoustic,Left for America,Ciaran Lavery,Kosher,https://i.scdn.co/image/ab67616d0000b2734775b6b0d41806081fa0df71,2014-06-20,,https://open.spotify.com/track/37z3ghNvcoPvHypKWTb2Sz,0.818,0.498,0.384,0.000937,0.13,-10.752,0.0976,79.856,0.25,Sad
70zapGEw5KQiHBhjNcGjzo,acoustic,Little Hell,City and Colour,Little Hell,https://i.scdn.co/image/ab67616d0000b27398c8b2d7aa0968f2a265ad61,2011-06-07,,https://open.spotify.com/track/70zapGEw5KQiHBhjNcGjzo,0.112,0.304,0.415,0.0,0.107,-10.132,0.0303,50.593,0.186,Sad
4RL77hMWUq35NYnPLXBpih,acoustic,Skinny Love,Birdy,Birdy,https://i.scdn.co/image/ab67616d0000b273cdebae610076f51e8b7b20f4,2011-11-04,https://p.scdn.co/mp3-preview/2ca8fe4572858a3fa8a07333c31df79a05115692?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/4RL77hMWUq35NYnPLXBpih,0.952,0.379,0.29,0.00106,0.118,-8.485,0.051,166.467,0.169,Sad
0EUSbTvyZfo9QOcxunL9Ro,acoustic,"In Your Atmosphere - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,Where the Light Is: John Mayer Live In Los Angeles,https://i.scdn.co/image/ab67616d0000b2735b9c332f9f76cabc137e400f,2008,https://p.scdn.co/mp3-preview/85b981029f94fd8ba5cf94dc32f002d3e08f0f12?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/0EUSbTvyZfo9QOcxunL9Ro,0.714,0.372,0.442,8.68e-05,0.966,-11.488,0.0289,92.72,0.297,Sad
6jdNp4oX1y3iwXibaXxWph,acoustic,Counting Stars / The Monster (feat. Carly Rose Sonenclar),"Boyce Avenue,Carly Rose","Cover Collaborations, Vol. 3",https://i.scdn.co/image/ab67616d0000b2736031dbad18379ba8c0b069fb,2014-05-30,,https://open.spotify.com/track/6jdNp4oX1y3iwXibaXxWph,0.65,0.73,0.44,0.0,0.142,-4.964,0.035,114.812,0.44,Sad
6qTmjG7thRJEOaUKFmfjGR,acoustic,The Last Day on Earth,Kate Miller-Heidke,Curiouser,https://i.scdn.co/image/ab67616d0000b273070a426fe63d5f2fa2ea55ac,2008-10-18,https://p.scdn.co/mp3-preview/54a8943a0fadc745e3367694466c6206b854d0a9?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/6qTmjG7thRJEOaUKFmfjGR,0.564,0.61,0.44,0.000897,0.0923,-7.864,0.0256,79.002,0.168,Sad
5gBIDzjs9bdZ1z8ZBGFzrv,acoustic,Perfect Day - Live,Lou Reed,Perfect Night Live in London,https://i.scdn.co/image/ab67616d0000b2735c8435ca859316ec46254ff3,1998-04-17,https://p.scdn.co/mp3-preview/6b6bebc3bec68be9a48041b381f225bcf38bfbb3?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/5gBIDzjs9bdZ1z8ZBGFzrv,0.356,0.419,0.321,0.0636,0.972,-10.686,0.0294,156.408,0.146,Sad
7bcP9k51f1VNCaFUyZ3P5M,acoustic,Life for Rent,Dido,Life For Rent,https://i.scdn.co/image/ab67616d0000b273c2dbca86dcf3a85003ac9502,2003-09-29,https://p.scdn.co/mp3-preview/8ad6f2ef6b8e5aabe394501392ee0ebe560b6759?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/7bcP9k51f1VNCaFUyZ3P5M,0.167,0.493,0.533,0.0,0.15,-7.221,0.0304,83.022,0.159,Sad
3xZMPZQYETEn4hjor3TR1A,acoustic,Angel,Sarah McLachlan,Surfacing,https://i.scdn.co/image/ab67616d0000b2739469c3ab051994ec802574a6,1997-08-29,https://p.scdn.co/mp3-preview/92d30e4d51ecfbbd9c8ae4758e65268ac20b70d1?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/3xZMPZQYETEn4hjor3TR1A,0.949,0.532,0.0744,1.22e-05,0.106,-16.092,0.0355,117.131,0.125,Sad
1u3PLSZ2YkkUBuapHKz29w,acoustic,Best Thing I Never Had (made famous by Beyoncé),Megan & Liz,Best Thing I Never Had - Single,https://i.scdn.co/image/ab67616d0000b2733094b825abe121e996c58f44,2011-07-17,,https://open.spotify.com/track/1u3PLSZ2YkkUBuapHKz29w,0.849,0.601,0.11,0.0,0.25,-13.245,0.0618,142.68,0.382,Sad
1j5cGcXWdHKTPQ2XgXODJI,acoustic,I'm Yours - Live on HSN Live,Jason Mraz,Spotify Sessions,https://i.scdn.co/image/ab67616d0000b27371a0388dddc2aef9b1d66765,2014-09-16,https://p.scdn.co/mp3-preview/9204645792ba99b598dc8c616661b1af2c7c09fe?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/1j5cGcXWdHKTPQ2XgXODJI,0.697,0.428,0.694,0.0,0.764,-8.455,0.0978,145.353,0.574,Sad
4oeRfmp9XpKWym6YD1WvBP,acoustic,You and I,Ingrid Michaelson,Be OK,https://i.scdn.co/image/ab67616d0000b273866dc0fd5fbfd51fd4c50919,2008-01-01,,https://open.spotify.com/track/4oeRfmp9XpKWym6YD1WvBP,0.92,0.697,0.298,0.0,0.0874,-7.635,0.0551,134.216,0.509,Sad
6N001s7hglDhXJyjeXeg4F,acoustic,Why Am I Crying,Molly Sandén,Why am I Crying,https://i.scdn.co/image/ab67616d0000b2736ad22ca07b22b6149cf4fe34,2012-02-24,https://p.scdn.co/mp3-preview/adb376d5d08ce9d2834b60627982f5071056e472?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/6N001s7hglDhXJyjeXeg4F,0.269,0.61,0.346,2.55e-05,0.163,-8.723,0.0337,138.331,0.198,Sad
508HOiphnDt26e8ylIQlwP,acoustic,Jag gråter bara i regnet - Akustisk version,Newkid,Jag gråter bara i regnet,https://i.scdn.co/image/ab67616d0000b273db555bdd6b557926f890afcc,2011-09-02,,https://open.spotify.com/track/508HOiphnDt26e8ylIQlwP,0.952,0.415,0.248,2.08e-06,0.138,-12.789,0.0341,122.263,0.41,Sad
4KSZnP1VFSaytKufyzNbDO,acoustic,The Power of Love,Gabrielle Aplin,The Power of Love,https://i.scdn.co/image/ab67616d0000b273fed7367d5c7142ff8bac3b88,2012-11-10,,https://open.spotify.com/track/4KSZnP1VFSaytKufyzNbDO,0.892,0.269,0.297,2.51e-05,0.107,-9.903,0.0308,146.589,0.214,Sad
6o6O9tWAgi1ANwKxPaq1R0,acoustic,The A Team,Gavin Mikhail,The A Team,https://i.scdn.co/image/ab67616d0000b2735b3d680879196eeef624f103,2011-08-16,https://p.scdn.co/mp3-preview/76ce86a7920389834120f3e01e722d02b1e598e8?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/6o6O9tWAgi1ANwKxPaq1R0,0.91,0.455,0.375,0.0,0.11,-5.608,0.0441,80.163,0.38,Sad
