id,track_name,artist_name,album_name,album_cover,release_date,preview_link,spotify_link,playlist_mood
7i6UQPAHgqgMGJJK7elUGS,Are You Dead Yet,Children Of Bodom,Are You Dead Yet?,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273137a4f9e96b8746aaffce28b', 'width': 640}",2005-01-01,,https://open.spotify.com/track/7i6UQPAHgqgMGJJK7elUGS,Angry
3eOFI0gwYcWfxt9ay0K9Yl,Been To Hell,Hollywood Undead,American Tragedy (Deluxe Edition),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2736ffd8bf70c2a7f62906fdd6e', 'width': 640}",2011,,https://open.spotify.com/track/3eOFI0gwYcWfxt9ay0K9Yl,Angry
52ror87xOVKLFQOYltc9U2,Now,Threat Signal,Under Reprisal,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273bd7d9d98b1daf0425ba4acfd', 'width': 640}",2006-05-26,,https://open.spotify.com/track/52ror87xOVKLFQOYltc9U2,Angry
4Ewyf5TxL7Qa59ji0gecpL,Comatose,Threat Signal,Threat Signal,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ae53354bd603df49d4cc783f', 'width': 640}",2011-10-10,,https://open.spotify.com/track/4Ewyf5TxL7Qa59ji0gecpL,Angry
3zDDPhLvgsUVAjo2cVOlZN,Cradle to the Grave,Five Finger Death Punch,"The Wrong Side Of Heaven And The Righteous Side Of Hell, Volume 2","{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273014f1ab0e2d6e5539732fbef', 'width': 640}",2013-11-15,,https://open.spotify.com/track/3zDDPhLvgsUVAjo2cVOlZN,Angry
19cfthyVG8hW2BhB0cedPM,Courtesy Call,Thousand Foot Krutch,The End Is Where We Begin,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273cd6f3bc3fed8595102d6ad1e', 'width': 640}",2013-09-02,,https://open.spotify.com/track/19cfthyVG8hW2BhB0cedPM,Angry
26nHYdbEFBfIKgYfn6I9MY,Narcissistic Cannibal (feat. Skrillex & Kill the Noise),"['Korn', 'Skrillex', 'Kill The Noise']",Narcissistic Cannibal (feat. Skrillex & Kill the Noise),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27398c8f1cf3db0f47bf47ee70e', 'width': 640}",2011-10-21,https://p.scdn.co/mp3-preview/4c10094ebacce2d91c3b9f13087aecc99e3d13eb?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/26nHYdbEFBfIKgYfn6I9MY,Angry
0g0ZfleK5Kzu2s587NKzVP,In Your Face,Children Of Bodom,Are You Dead Yet?,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273137a4f9e96b8746aaffce28b', 'width': 640}",2005-01-01,,https://open.spotify.com/track/0g0ZfleK5Kzu2s587NKzVP,Angry
5cA9fu0qKxeV9mTaDpFjgH,Breaking Me Down,Soil,Scars (Expanded Edition),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273261b7d9405d6ea16a4ce6757', 'width': 640}",2011-10-07,https://p.scdn.co/mp3-preview/92e5b79220a792371fae3b71d7c79ec5a896b860?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/5cA9fu0qKxeV9mTaDpFjgH,Angry
7gWnv9y5NKxX5U88RwdUtL,The Hate Song,Soil,Whole,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2738d4cb465da307d7e0abcd9c8', 'width': 640}",2013-08-16,,https://open.spotify.com/track/7gWnv9y5NKxX5U88RwdUtL,Angry
