id,track_name,artist_name,album_name,album_cover,release_date,preview_link,spotify_link,playlist_mood
1gWtHDe403RuyZqhvSRcv8,Tune Kaha,Prateek Kuhad,Tune Kaha,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2733214a3bb5d7728018acc90be', 'width': 640}",2016-02-22,https://p.scdn.co/mp3-preview/f805c1e1f66580d8e069112a25b9e09ce10e905f?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/1gWtHDe403RuyZqhvSRcv8,Calm
63YGmJOvR3ARYmWmR5e0hz,Two Steps Forward,Benjamin Pirlo,Two Steps Forward,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ad16ea96934388063cbfb22f', 'width': 640}",2021-11-05,https://p.scdn.co/mp3-preview/795925804a4a225d18d548dc5238f9b31adf872d?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/63YGmJOvR3ARYmWmR5e0hz,Calm
5Lc1wnS6xGMw2xajdDvKAp,Pneuma,Hello Artemisia!,Pneuma,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730032865cd232d197666726dd', 'width': 640}",2021-12-03,https://p.scdn.co/mp3-preview/bcfffe8c7c56c176b69e63c60438c5e6162b7b38?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/5Lc1wnS6xGMw2xajdDvKAp,Calm
7c2CN4p20ptpqkERAJPdI1,Psalm,Stephanie Middleton,Before Dawn,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f0b10ddda82ec069d1bfa111', 'width': 640}",2021-07-09,https://p.scdn.co/mp3-preview/f72fb48696b3818e617b92fd433618eb57591402?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/7c2CN4p20ptpqkERAJPdI1,Calm
39e67SWLFobtjgr1S10iYE,Laetitia,Ron Adelaar,Laetitia,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2733b6f7e2c2015f3a0e6c0bac5', 'width': 640}",2022-01-14,https://p.scdn.co/mp3-preview/74ffc0a669821d216107aa6cc9de6a88a976fe00?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/39e67SWLFobtjgr1S10iYE,Calm
4NEIlZgVYb3lwN81SgxcJV,Lemons In London,Jesse Brown,Lemons In London,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a600d05752ec7243042d39e5', 'width': 640}",2021-08-13,https://p.scdn.co/mp3-preview/170976ce042e402cd21aafff5486f2df49821b5a?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/4NEIlZgVYb3lwN81SgxcJV,Calm
1nxWCkjlOdwRwyROs99UNv,Fiorire,Carluccio,Ariosa,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273af084b65c2129d158c7d5b4f', 'width': 640}",2021-03-19,https://p.scdn.co/mp3-preview/e11f99850cf4fa174866f8fb056344cdf2b38799?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/1nxWCkjlOdwRwyROs99UNv,Calm
3s9eWdn8IymCPvVLcKpjww,The Moon Song,"['beabadoobee', 'Oscar Lang']",The Moon Song,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f12c7a6a377a99c42a37db65', 'width': 640}",2017-11-06,https://p.scdn.co/mp3-preview/fcf686fa16a47ef737b7bbfe0a132f9085c56920?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/3s9eWdn8IymCPvVLcKpjww,Calm
2rcjEdhxMASzFKFMLE0VyK,Beyond The Words,Phoebe Waits,Beyond The Words,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e74455accbd824d63ca5be17', 'width': 640}",2021-12-16,https://p.scdn.co/mp3-preview/0024743762b415db6e39d54fe1c68d1050aba71a?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/2rcjEdhxMASzFKFMLE0VyK,Calm
5GVo7iQPoQUDOX1xUadS1p,Volga,Ivan Vladusic,Volga,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b7d33aec48be3d7f9649ce11', 'width': 640}",2022-01-07,https://p.scdn.co/mp3-preview/39944cfdcdd28169c2340510dc5dc2eab9e14790?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/5GVo7iQPoQUDOX1xUadS1p,Calm
2ElVZ4JztgEiG6vfb0ZdB2,Drifting Sand,William Cas,Drifting Sand,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737a88e1dfd34a3d0427edc32e', 'width': 640}",2021-11-05,https://p.scdn.co/mp3-preview/f6dc53510934596214cce50fe94cef3feeeed76b?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/2ElVZ4JztgEiG6vfb0ZdB2,Calm
0E5LETwX2aLYLb7NC2d79M,The Biggest Lie,Prateek Kuhad,The Biggest Lie,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737559b482a3ba89a93dc33cbf', 'width': 640}",2020-08-21,https://p.scdn.co/mp3-preview/be4da72560e77655e1e6bf7ab1dc3d030d867638?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/0E5LETwX2aLYLb7NC2d79M,Calm
1xVRlpnFBUSWnCT0vsqPvi,Metanoia,Auxelia,Metanoia,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273bdf197748bb0b1fd29a9ccb9', 'width': 640}",2020-10-22,https://p.scdn.co/mp3-preview/c1c2a5380bf8c19aa95ffabab44c420a0696d59e?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/1xVRlpnFBUSWnCT0vsqPvi,Calm
7emdYdVOLn2nIzdFufWUQh,Pampus,Dardan Leistra,Pampus,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273941c4faf04782f22342da9b5', 'width': 640}",2020-03-27,https://p.scdn.co/mp3-preview/d81b6b23e834f587d1d182275e10b1b1f46d6aaf?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/7emdYdVOLn2nIzdFufWUQh,Calm
