id,track_name,artist_name,album_name,album_cover,release_date,preview_link,spotify_link,playlist_mood
32TW5KGM1UqTzkTOkcNITt,Sweetly,Lord Kael,Sweetly,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273fa24c36f98042c323d099877', 'width': 640}",2019-07-01,https://p.scdn.co/mp3-preview/47dc5bd263c82ad74a85df43e5ff1a82e30f6cd6?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/32TW5KGM1UqTzkTOkcNITt,Content
1FWoak0OgTq1jrYfRKfXsj,Loverboy,A-Wall,Helios,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2739558bb232b9f16134aaad010', 'width': 640}",2019-08-04,,https://open.spotify.com/track/1FWoak0OgTq1jrYfRKfXsj,Content
0TZejo18HlJ86OrWNsXKnw,Mrs Magic,Strawberry Guy,Mrs Magic,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734695126ef47156001851e95c', 'width': 640}",2019-07-24,https://p.scdn.co/mp3-preview/f51bd7a8fbeeaa415209f10b5c5f5461677a80cf?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/0TZejo18HlJ86OrWNsXKnw,Content
6uuBSo3wXnosEWVXRzZDTf,Nice Boys,TEMPOREX,Care,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27370318591e08f17f2d3eae060', 'width': 640}",2017-01-11,https://p.scdn.co/mp3-preview/95728b2ef6f32dd706e5f70b1cfc7ce14928a235?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/6uuBSo3wXnosEWVXRzZDTf,Content
5SjtAe7xzUgHDtNTmt8zS7,MODUS,Joji,Nectar,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27353f6fa0d2589c6a7174f4b81', 'width': 640}",2020-09-25,https://p.scdn.co/mp3-preview/4dd931790a3713e99127c137db1c1f7fb8855564?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/5SjtAe7xzUgHDtNTmt8zS7,Content
76tGvMdmFKuiMew33ZNNA9,Lover Is a Day,Cuco,wannabewithu,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2733d543b0dfe18c4bae839de3b', 'width': 640}",2016-07-09,https://p.scdn.co/mp3-preview/73a76c378d0eb2f1df976c0aad2893ba1a65efd3?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/76tGvMdmFKuiMew33ZNNA9,Content
1F6IbA7di42uPc3cff8PXV,Flaming Hot Cheetos,Clairo,Flaming Hot Cheetos,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27390c00af3fd8de6b9f510c1b8', 'width': 640}",2017-06-14,,https://open.spotify.com/track/1F6IbA7di42uPc3cff8PXV,Content
0I1eFRytp4XRhLCjT6tZm7,I Can't Handle Change,Roar,I Can't Handle Change,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d72f734a66c2b545facd7517', 'width': 640}",2010-03-14,https://p.scdn.co/mp3-preview/b2dd3da7a028a8eede479314cd76255c3a77e285?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/0I1eFRytp4XRhLCjT6tZm7,Content
7xcUWyLh6fIMsYjoVI7NnZ,Ew,Joji,Nectar,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27353f6fa0d2589c6a7174f4b81', 'width': 640}",2020-09-25,https://p.scdn.co/mp3-preview/9b9f680e02fa83ad491ddcc92119aa54492b0d4c?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/7xcUWyLh6fIMsYjoVI7NnZ,Content
72j1jY006wieT3AdwLdLFl,ON TOP,"['The Girl Next Door', 'WMD']",ON TOP,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ccfcfcded5434548c70d116f', 'width': 640}",2018-02-04,https://p.scdn.co/mp3-preview/48fcf2bd9bbffede9f055f0b0e42a67bca5eb451?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/72j1jY006wieT3AdwLdLFl,Content
0rKtyWc8bvkriBthvHKY8d,SLOW DANCING IN THE DARK,Joji,BALLADS 1,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27360ba1d6104d0475c7555a6b2', 'width': 640}",2018-10-26,https://p.scdn.co/mp3-preview/198e47a60b679b051c8d7a437e53fd3ebe2b58ca?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d,Content
1MONUudxAjEk76FJvzGhuD,Like You Do,Joji,Nectar,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27353f6fa0d2589c6a7174f4b81', 'width': 640}",2020-09-25,https://p.scdn.co/mp3-preview/3410ec5ec7b4dac6451f024961ef780362f734c5?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/1MONUudxAjEk76FJvzGhuD,Content
3kEsMLO3qUUwiXeCndsMIb,Bossa No Sé (feat. Jean Carter),"['Cuco', 'Jean Carter']",Para Mi,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27365d444a19f72771cba82cb00', 'width': 640}",2019-07-26,,https://open.spotify.com/track/3kEsMLO3qUUwiXeCndsMIb,Content
1eEg6c3d5l9MpOznu25AQM,Ropes,Scott James,Shelter Island Heights,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2733c2636cd55d7a73c1beb198e', 'width': 640}",2017-08-26,https://p.scdn.co/mp3-preview/1d8891b46b80b5b4d2c4dabcb5f5c2565f5aff63?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/1eEg6c3d5l9MpOznu25AQM,Content
7CC6UbCs4iGsePSzFxYxNn,Moon,Kanye West,Donda,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273cad190f1a73c024e5a40dddd', 'width': 640}",2021-08-29,,https://open.spotify.com/track/7CC6UbCs4iGsePSzFxYxNn,Content
7hsUgZdfC4j8sqskVr4DUH,Supplier!,Crisaunt,Supplier!,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273418a33adcae8e528e96d182c', 'width': 640}",2020-05-08,https://p.scdn.co/mp3-preview/0156dc02b71f6737d345e025351b71ef9a45474d?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/7hsUgZdfC4j8sqskVr4DUH,Content
