id,track_name,artist_name,album_name,album_cover,release_date,preview_link,spotify_link,playlist_mood
3SdTKo2uVsxFblQjpScoHy,Stand by Me,Ben E. King,Don't Play That Song (Mono),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2731813ea8f590a0aab2820f922', 'width': 640}",1962-08-20,https://p.scdn.co/mp3-preview/512aa6460858b4d68c29c3f8e9e2d9ae4bb59c79?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/3SdTKo2uVsxFblQjpScoHy,Delighted
0mqTcM8kuu2IYPotMt7AzS,Make You Feel My Love,Adele,19,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730a5d334a63fd4455ce83b38b', 'width': 640}",2008-01-28,,https://open.spotify.com/track/0mqTcM8kuu2IYPotMt7AzS,Delighted
3U4isOIWM3VvDubwSI3y7a,All of Me,John Legend,Love In The Future (Expanded Edition),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27394c9217a398f5174757c0c78', 'width': 640}",2013-08-30,https://p.scdn.co/mp3-preview/562e8ed1dc5bf6235895b06904358e1472bfe41c?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a,Delighted
3ERa3mEeOnrh2Mc47qM6T1,Halo,Beyoncé,I AM...SASHA FIERCE,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e13de7b8662b085b0885ffef', 'width': 640}",2008-11-14,https://p.scdn.co/mp3-preview/62d38001f4c29dd544b2b8b88afc24866741b5d0?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/3ERa3mEeOnrh2Mc47qM6T1,Delighted
3XVBdLihbNbxUwZosxcGuJ,If I Ain't Got You,Alicia Keys,The Diary Of Alicia Keys,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27356ff19308ebeb48e2ba6094b', 'width': 640}",2003-12-02,https://p.scdn.co/mp3-preview/95a5bddd5c989e229caf575ef420cc45a0f2fc21?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/3XVBdLihbNbxUwZosxcGuJ,Delighted
34gCuhDGsG4bRPIf9bb02f,Thinking out Loud,Ed Sheeran,x (Deluxe Edition),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27313b3e37318a0c247b550bccd', 'width': 640}",2014-06-21,https://p.scdn.co/mp3-preview/f6e44fbb82eda462c977397d1f16e2a4ab05e3f3?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f,Delighted
6z5Yh7kOKeLjqIsNdokIpU,A Thousand Years,Christina Perri,The Twilight Saga: Breaking Dawn - Part 1 (Original Motion Picture Soundtrack),"{'height': 640, 'url': 'https://i.scdn.co/image/4aaa9fae84be9e79c1a58845784441d65327bcba', 'width': 640}",2011-11-04,https://p.scdn.co/mp3-preview/3479f40bde60a8bf162d2ce1ede0edc75c0006c4?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/6z5Yh7kOKeLjqIsNdokIpU,Delighted
2ACjOtICHXrAlP3ijVMSvb,Unchained Melody,The Righteous Brothers,Rock N' Roll Legends,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273cfba57673816ba988f308b7f', 'width': 640}",2008-01-01,,https://open.spotify.com/track/2ACjOtICHXrAlP3ijVMSvb,Delighted
0CmIALzGn4vHIHJG4n3Q4z,At Last - Single Version,Etta James,At Last!,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d97bf715a906411fe4709fff', 'width': 640}",1960,,https://open.spotify.com/track/0CmIALzGn4vHIHJG4n3Q4z,Delighted
3fqwjXwUGN6vbzIwvyFMhx,Tennessee Whiskey,Chris Stapleton,Traveller,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273540fc1d083eac5bcff8dad21', 'width': 640}",2015-05-04,,https://open.spotify.com/track/3fqwjXwUGN6vbzIwvyFMhx,Delighted
