id,track_name,artist_name,album_name,album_cover,release_date,preview_link,spotify_link,playlist_mood
7uHRKSQ9WIlBBuBY7BHcbq,Forever,ilyTOMMY,Forever,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27349337be31c61ec60ec021fe7', 'width': 640}",2019-03-08,https://p.scdn.co/mp3-preview/28c60e8706cb8d1f770a33a8bc0aa2c43b10c403?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/7uHRKSQ9WIlBBuBY7BHcbq,Depressed
2mHpiUVtrP1MVRhLKE2z9u,rises the moon,maruwhat,rises the moon,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273391eb4621cab2081efc73423', 'width': 640}",2022-05-13,https://p.scdn.co/mp3-preview/f32b18480024a0228ccd2f94f51b05d5d37792b2?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/2mHpiUVtrP1MVRhLKE2z9u,Depressed
4P2oRCRZ2iyU7SjpiqIcOx,through it all,sombr,through it all,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2736dae9bfdb31aae03b6206aee', 'width': 640}",2022-05-13,https://p.scdn.co/mp3-preview/9229ca656b057c5679b613c9a97983eb4bcfa236?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/4P2oRCRZ2iyU7SjpiqIcOx,Depressed
7ANAD68k24O6ouqwzMdvBC,everybody leaves,Heroe,everybody leaves,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273351c98e0aa4df848634ecccd', 'width': 640}",2022-06-03,https://p.scdn.co/mp3-preview/3fa00868f287c3f5bdf3eb3168de9d39cc01cacc?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/7ANAD68k24O6ouqwzMdvBC,Depressed
1EznNhpm2q1HaAFxIO8k2h,"at least, I tried",Heroe,"at least, I tried","{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273049b4ff5880e94a116222cb2', 'width': 640}",2022-05-06,https://p.scdn.co/mp3-preview/975c35efbf2dda75e1947ab31260ef29ee2999ec?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/1EznNhpm2q1HaAFxIO8k2h,Depressed
0yTGQpPOgcsS8Xqp5bQO58,The Loser,Verzache,The Loser,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2731fba28ac3e634e6edc097243', 'width': 640}",2016-07-29,,https://open.spotify.com/track/0yTGQpPOgcsS8Xqp5bQO58,Depressed
5L1wjhkyKjRycIOQV0ieK1,I Couldn't Love,"['Too', 'Shiloh Dynasty']",I Couldn't Love,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a89873ba5e0c1fc435100ca4', 'width': 640}",2022-05-27,https://p.scdn.co/mp3-preview/301d5eacef643dc8bb2fcda68f5c859445b17a7c?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/5L1wjhkyKjRycIOQV0ieK1,Depressed
0kHWL11QLzkPSv2CKigy1q,Two Birds,maruwhat,Two Birds,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273feefd354ccf3dfb3995dc286', 'width': 640}",2022-04-29,https://p.scdn.co/mp3-preview/42ab5d341bd281ce2789dfaf3105bc361e4aefd9?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/0kHWL11QLzkPSv2CKigy1q,Depressed
5MsydV2Ii4A7r85gSgh90x,you deserve better,sadeyes,you deserve better,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2732bd4edbbb53b98a2efc1c18a', 'width': 640}",2018-08-31,,https://open.spotify.com/track/5MsydV2Ii4A7r85gSgh90x,Depressed
6gdWtkPIbfFzG3esBKjkkG,marooned on the moon,artemis orion,marooned on the moon,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27310e139a57bd8d3f6bd8e5381', 'width': 640}",2022-04-29,https://p.scdn.co/mp3-preview/53631317f32f85e4d11e502dd849c10d22e67a82?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/6gdWtkPIbfFzG3esBKjkkG,Depressed
6vJ6FR4WtlKSxe8lmh3F1C,Baby You're Worth It,Kina,Baby You're Worth It,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273343b0fd081b190473e8a9f5c', 'width': 640}",2018-06-13,,https://open.spotify.com/track/6vJ6FR4WtlKSxe8lmh3F1C,Depressed
6u29w7XYvobu1ru3NjLg7G,We'll Meet Again,"['Ali.Akbar14', 'maruwhat']",We'll Meet Again,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273780ccbbed5d9ba2d29240c5f', 'width': 640}",2021-12-24,https://p.scdn.co/mp3-preview/7716464e596b009157a3dfab1f424cbd1a743195?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/6u29w7XYvobu1ru3NjLg7G,Depressed
20H7i9awxLSC0XoK2yxEdZ,trust nobody (tough love),"['beats mode.', 'Shiloh Dynasty']",trust nobody (tough love),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b4f3d84759de52ab9cd6dedc', 'width': 640}",2022-02-11,,https://open.spotify.com/track/20H7i9awxLSC0XoK2yxEdZ,Depressed
68mIHttgge6Kig2Gwkw9WZ,i'll keep you safe,"['Anitsu', 'Shiloh Dynasty']",i'll keep you safe,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273873499be6f9cb0f9840c9de9', 'width': 640}",2022-02-04,,https://open.spotify.com/track/68mIHttgge6Kig2Gwkw9WZ,Depressed
6IOg5CYhfd4Q3p68Ah71Qi,hazel eyes (Remix),"['Bonjr', 'Yui']",hazel eyes (Remix),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730ac9279e86ad69075ce145ae', 'width': 640}",2021-12-03,https://p.scdn.co/mp3-preview/1231478851a4720d2052e58aea95d08ff4e53184?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/6IOg5CYhfd4Q3p68Ah71Qi,Depressed
1N92s8wRLD7nIVfOxEfEo0,Imagination,"['Anitsu', 'Shiloh Dynasty']",Imagination,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27396f8d40e287c345d70e28df3', 'width': 640}",2022-01-28,,https://open.spotify.com/track/1N92s8wRLD7nIVfOxEfEo0,Depressed
6oOOI69XbmvAjPHziVMLYS,We'll Meet Again,maruwhat,We'll Meet Again,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734816acea6cea0e7b1a239b05', 'width': 640}",2022-04-01,https://p.scdn.co/mp3-preview/206e16e3b2ae0dcc3b253bf0a67beb64f7604f21?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/6oOOI69XbmvAjPHziVMLYS,Depressed
3Tvn59AfN1hJT5Wy9mG29u,out there lying,"['HounoP', 'Shiloh Dynasty']",out there lying,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734600e37f333a01f19e4b22c3', 'width': 640}",2022-02-04,,https://open.spotify.com/track/3Tvn59AfN1hJT5Wy9mG29u,Depressed
1IcYox0aT0XElakJF7mJYf,i love you,Heroe,i love you,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737c381c3bb2f94cbd7622329c', 'width': 640}",2021-10-01,https://p.scdn.co/mp3-preview/1c5809903aa13cd2afd4171b80f90fab567912cf?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/1IcYox0aT0XElakJF7mJYf,Depressed
2QZpI4MwzALw9VSZTpQxdd,catch you,"['HounoP', 'Shiloh Dynasty']",catch you,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273ed5e0f64deb758d195c723cd', 'width': 640}",2022-01-28,,https://open.spotify.com/track/2QZpI4MwzALw9VSZTpQxdd,Depressed
