id,track_name,artist_name,album_name,album_cover,release_date,preview_link,spotify_link,playlist_mood
6bQfNiqyCX7UaQSvVVGo4I,Shivers,Ed Sheeran,Shivers,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273469407300636945a5eb2d9ed', 'width': 640}",2021-09-10,,https://open.spotify.com/track/6bQfNiqyCX7UaQSvVVGo4I,Happy
2Xy1UIVfOlukyye6Fd0wrI,Follow Me,"['Sam Feldt', 'Rita Ora']",Follow Me,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273768c262077eb6de3cce11775', 'width': 640}",2021-12-10,https://p.scdn.co/mp3-preview/09cc56d827a3049f26fda17c56e3410c093a8e06?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/2Xy1UIVfOlukyye6Fd0wrI,Happy
5K6Ssv4Z3zRvxt0P6EKUAP,Heartbreak Anthem (with David Guetta & Little Mix),"['Galantis', 'David Guetta', 'Little Mix']",Heartbreak Anthem (with David Guetta & Little Mix),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2731fcd19d56ad06561b76c1665', 'width': 640}",2021-05-20,https://p.scdn.co/mp3-preview/06c1a550da3bf5d10e0e665d212870d1ccd32932?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/5K6Ssv4Z3zRvxt0P6EKUAP,Happy
5ri4zqtWhG07hIuNNDWP76,Fly Away,Tones And I,Fly Away,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2738fb79948870fc9314eccac4b', 'width': 640}",2020-11-13,https://p.scdn.co/mp3-preview/fbfa1a1fa91fc4bb5bb451a304defcc7f5ecea68?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/5ri4zqtWhG07hIuNNDWP76,Happy
5r43qanLhUCdBj8HN3fa6B,Sunshine,OneRepublic,Sunshine,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2733b248f42fb53c64faf1d748e', 'width': 640}",2021-11-10,,https://open.spotify.com/track/5r43qanLhUCdBj8HN3fa6B,Happy
0QBzMgT7NIeoCYy3sJCof1,Bam Bam (feat. Ed Sheeran),"['Camila Cabello', 'Ed Sheeran']",Bam Bam (feat. Ed Sheeran),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273364ef5f9057092741f667fea', 'width': 640}",2022-03-04,https://p.scdn.co/mp3-preview/c7d17a94330a3789118aa4d7a8823fcc1f049125?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/0QBzMgT7NIeoCYy3sJCof1,Happy
73QyyUMMvtNELmULI4FOsp,You for Me,"['Sigala', 'Rita Ora']",You for Me,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f27f159d52482679d2bf2985', 'width': 640}",2021-07-02,https://p.scdn.co/mp3-preview/98e8c6e4a050abadb1d4caadf4bcfbd2bb04bb05?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/73QyyUMMvtNELmULI4FOsp,Happy
3LEgGAl9zLcQWGTp7ptqtQ,Don’t Wake Me Up,"['Jonas Blue', ""Why Don't We""]",Don’t Wake Me Up,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730e3723dac6e7b6c08a553397', 'width': 640}",2022-01-07,,https://open.spotify.com/track/3LEgGAl9zLcQWGTp7ptqtQ,Happy
0Npijoc6ZcUe1devUugKvI,Dive,"['Hot Shade', 'Mike Perry', 'Chris James']",Dive,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2735ea0c06ef2223ac5ff038dd5', 'width': 640}",2019-12-20,,https://open.spotify.com/track/0Npijoc6ZcUe1devUugKvI,Happy
4RAR8g8fZNB106ezUurnE0,Dancing Feet (feat. DNCE),"['Kygo', 'DNCE']",Dancing Feet (feat. DNCE),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c8737379745bc811274e300a', 'width': 640}",2022-02-25,https://p.scdn.co/mp3-preview/68ab5620823a0a4eafe34c30638150def7f39d6a?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/4RAR8g8fZNB106ezUurnE0,Happy
0z8hI3OPS8ADPWtoCjjLl6,Summer of Love (Shawn Mendes & Tainy),"['Shawn Mendes', 'Tainy']",Summer Of Love,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a111c87c210cc9bff93948bd', 'width': 640}",2021-08-20,,https://open.spotify.com/track/0z8hI3OPS8ADPWtoCjjLl6,Happy
4laAKIq9ZxBCwf99rauPYb,Remember,"['Becky Hill', 'David Guetta']",Remember,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273fe3a09ccabe5f5e6646f7512', 'width': 640}",2021-06-18,,https://open.spotify.com/track/4laAKIq9ZxBCwf99rauPYb,Happy
7jqXDgGWkV4w2ctdb2g59o,At Least I Had Fun,"['Martin Jensen', 'RANI']",At Least I Had Fun,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273fb391d6588890185afd3435b', 'width': 640}",2020-08-14,,https://open.spotify.com/track/7jqXDgGWkV4w2ctdb2g59o,Happy
2UbVnbE5FH6008mAm6Mmgw,Run,OneRepublic,Run,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2738120d2b107af14b1bf67cd06', 'width': 640}",2021-05-05,,https://open.spotify.com/track/2UbVnbE5FH6008mAm6Mmgw,Happy
