id,track_name,artist_name,album_name,album_cover,release_date,preview_link,spotify_link,playlist_mood
29Co9NKhOM5R9vWCrpkPPK,All For You,Cian Ducrot,All For You,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b27f73c256e4f6054d72d096', 'width': 640}",2022-04-07,,https://open.spotify.com/track/29Co9NKhOM5R9vWCrpkPPK,Sad
6HJizCbaqaEQG1eLjn341Z,Hurtless,Dean Lewis,Hurtless,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2735a2ed586c163472d6d3f8532', 'width': 640}",2022-03-31,,https://open.spotify.com/track/6HJizCbaqaEQG1eLjn341Z,Sad
3JvKfv6T31zO0ini8iNItO,Another Love,Tom Odell,Long Way Down (Deluxe),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2731917a0f3f4152622a040913f', 'width': 640}",2013-06-24,https://p.scdn.co/mp3-preview/3d0645699f24cf41b4d517478df5a04bcb04b25b?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/3JvKfv6T31zO0ini8iNItO,Sad
5dXiKFepHXZktud7z5635H,London Is Lonely,Holly Humberstone,London Is Lonely,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27374b629d1670f6897f6ed8350', 'width': 640}",2022-01-20,,https://open.spotify.com/track/5dXiKFepHXZktud7z5635H,Sad
1cpVLszZnKUHUjsJDTEi3D,Black Hole - Acoustic Version,Griff,Black Hole (Acoustic Version),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2736fd154dba6fe0e14208eb248', 'width': 640}",2021-03-19,https://p.scdn.co/mp3-preview/a58fb97b3df169fe12273a4d7e208d152194b161?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/1cpVLszZnKUHUjsJDTEi3D,Sad
2KnLkZ3z7PO3kgVGHGqDpD,It'll Be Okay,Shawn Mendes,It'll Be Okay,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27372355b30dde4b6ded10ef48c', 'width': 640}",2021-12-01,,https://open.spotify.com/track/2KnLkZ3z7PO3kgVGHGqDpD,Sad
0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,Adele,Easy On Me,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27350dba34377a595e35f81b0e4', 'width': 640}",2021-10-14,https://p.scdn.co/mp3-preview/3ca514309c910bb73a9e3ef8092306900af06fa6?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/0gplL1WMoJ6iYaPgMCL0gX,Sad
5S9Zs5g9lTWnLIboN1pdlU,Fingers Crossed,Lauren Spencer-Smith,Fingers Crossed,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737904dbff5b1dac889cdff376', 'width': 640}",2022-01-05,,https://open.spotify.com/track/5S9Zs5g9lTWnLIboN1pdlU,Sad
1vXmhTcKkv7Kck2gBap1fz,Seventeen Going Under - Acoustic,"['Sam Fender', 'Holly Humberstone']",Seventeen Going Under (Acoustic),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734091f2c9d3cf372f9a057dff', 'width': 640}",2021-12-09,,https://open.spotify.com/track/1vXmhTcKkv7Kck2gBap1fz,Sad
135Lf4Q0CzlMNfOxbEUsLH,GHOST TOWN,Benson Boone,GHOST TOWN,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273dc94a17624484c674252385b', 'width': 640}",2021-10-15,https://p.scdn.co/mp3-preview/893fd29b5d6b8b39b4f0ee2338b0eddf712582ce?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/135Lf4Q0CzlMNfOxbEUsLH,Sad
66MhEsUuahsQOxNR4RJv9Z,You - Live,Miley Cyrus,ATTENTION: MILEY LIVE,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a6a3bfe95c77e20dc1a38f59', 'width': 640}",2022-04-01,https://p.scdn.co/mp3-preview/6111656223e8f3c313947bc9001aa5335c4ad9b9?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/66MhEsUuahsQOxNR4RJv9Z,Sad
44V6EzbUSYgyfsNiP0FrlA,Visiting Hours,Ed Sheeran,Visiting Hours,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b775d9e0b2d6d2279a0a7373', 'width': 640}",2021-08-19,https://p.scdn.co/mp3-preview/2b4f878998be450794e732f6d437346736cb8e0a?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/44V6EzbUSYgyfsNiP0FrlA,Sad
7JIIY2oDPFkURYMCLJuzhe,"Elliot's Song - From ""Euphoria"" An HBO Original Series","['Dominic Fike', 'Zendaya']","Elliot's Song (From ""Euphoria"" An HBO Original Series)","{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2735fa0cac2c4228c335c01dbe5', 'width': 640}",2022-03-04,https://p.scdn.co/mp3-preview/3b00017d77ec9a740223c1b2a428a92feec2d509?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/7JIIY2oDPFkURYMCLJuzhe,Sad
7dDrR6vMK1JAwZZ5MIWgme,Birthday Cake,Dylan Conrique,Birthday Cake,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d77e330eaadf7e31ec307437', 'width': 640}",2022-02-02,https://p.scdn.co/mp3-preview/0ff9914bddd7c529b50ceeb3a41b0471a32200e7?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/7dDrR6vMK1JAwZZ5MIWgme,Sad
55Am8neGJkdj2ADaM3aw5H,Train Wreck,James Arthur,Back from the Edge,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27320beb61f61fcbeb33b10a9ab', 'width': 640}",2016-10-28,https://p.scdn.co/mp3-preview/791c76a32d75a49f01e697bdd94920d7b6fc5bff?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H,Sad
754zNJgoWQaGETFzSYVlmC,Is It Just Me? (feat. JP Cooper),"['Emily Burns', 'JP Cooper']",Is It Just Me?,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273cb578f037d8e52a136a18cf7', 'width': 640}",2020-12-04,,https://open.spotify.com/track/754zNJgoWQaGETFzSYVlmC,Sad
1ZMiCix7XSAbfAJlEZWMCp,Falling,Harry Styles,Fine Line,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a', 'width': 640}",2019-12-13,https://p.scdn.co/mp3-preview/990a7b9b1b2d3cf238964adc896e8d6943df075b?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp,Sad
4TRL1Y8sOR54I3AvRzUZHk,we'll be fine,Luz,we'll be fine,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273dfd478951a2c3cf76e95a999', 'width': 640}",2020-06-19,https://p.scdn.co/mp3-preview/d7d4fb982582939ed65b37220b92e9325d1a934f?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/4TRL1Y8sOR54I3AvRzUZHk,Sad
6gPPoRYJwCsoB2VVdPJfmo,Miserable Man,David Kushner,Miserable Man,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2733098c022f4ffe7065e033451', 'width': 640}",2022-01-07,,https://open.spotify.com/track/6gPPoRYJwCsoB2VVdPJfmo,Sad
4VtRHZ4tBDHaWltVAytlLY,go,Cat Burns,go,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a015434511262e2a0fafccdc', 'width': 640}",2020-07-31,https://p.scdn.co/mp3-preview/d3170ce7600d654837a05e419f6159ff6f2c22b1?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/4VtRHZ4tBDHaWltVAytlLY,Sad
1eEK8eQETi8q8bU0lxRMlq,Bad Life,"['Sigrid', 'Bring Me The Horizon']",Bad Life,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2730ad6c857a61c90b85d7a0d22', 'width': 640}",2022-04-21,,https://open.spotify.com/track/1eEK8eQETi8q8bU0lxRMlq,Sad
06Nak3IpaRtZKS27DYoHmt,If You Ever Change Your Mind,Calum Scott,If You Ever Change Your Mind,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f672e23d9bc28b5279e7195c', 'width': 640}",2022-02-04,,https://open.spotify.com/track/06Nak3IpaRtZKS27DYoHmt,Sad
3Inj1eHMvEhwUFej1LYR0d,Shouldn't Be Thinking About You,Jamie Grey,Songs They Told Me Weren't Singles - Part 1,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2733936f4ed866848b9415dc4e6', 'width': 640}",2021-10-21,https://p.scdn.co/mp3-preview/53e9c8da3470e9fd1344bfb08f9c231ad83cbfe8?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/3Inj1eHMvEhwUFej1LYR0d,Sad
7l97ElWmIdVHWUaOeeU5ZC,that way,Tate McRae,all the things i never said,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273cdfe41cd475f8ad3a29b3537', 'width': 640}",2020-01-24,https://p.scdn.co/mp3-preview/fd285cde70dcc62dfc4f52fd7a91e87697b02008?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/7l97ElWmIdVHWUaOeeU5ZC,Sad
6Z165JvPnS8PYvGW8oLGLc,Flowers,Lauren Spencer-Smith,Flowers,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273295d21d0987dcc3d88b4e993', 'width': 640}",2022-04-14,,https://open.spotify.com/track/6Z165JvPnS8PYvGW8oLGLc,Sad
2ySPkHH3mHCP3r3T040M5V,I Lost Myself In Loving You,Jamie Miller,I Lost Myself In Loving You,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27345cdc3d07123a8913b17f893', 'width': 640}",2022-01-28,https://p.scdn.co/mp3-preview/30ce1869b5991e81885328e10341ef3875230fa8?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/2ySPkHH3mHCP3r3T040M5V,Sad
7lPN2DXiMsVn7XUKtOW1CS,drivers license,Olivia Rodrigo,drivers license,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2738ffc294c1c4362e8472d14cd', 'width': 640}",2021-01-08,,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS,Sad
4zXuYQNDmw3dlauyc8q3Kd,We'll Never Have Sex,Leith Ross,We'll Never Have Sex,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273a6ab37b64dcecad21b9f53c8', 'width': 640}",2022-03-25,,https://open.spotify.com/track/4zXuYQNDmw3dlauyc8q3Kd,Sad
