id,track_name,artist_name,album_name,album_cover,release_date,preview_link,spotify_link,playlist_mood
10DfGfqlvPzOM4VJP4H72D,you can't always wait forever,"['fnonose', '96 Zeus']",you can't always wait forever,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273be1a058b7462f8de789bd3a0', 'width': 640}",2022-05-02,https://p.scdn.co/mp3-preview/8b4c3de122591dcdae96c559e4ecd079140984ce?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/10DfGfqlvPzOM4VJP4H72D,Sleepy
3bmicq5CCRnFGlvZY8mQYP,From Above,Jack Rosslyn,From Above,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2731315552541ebb4ab86c6a5df', 'width': 640}",2021-02-04,https://p.scdn.co/mp3-preview/abdcf335d96c1257d380138ddc113fc6caa865a8?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/3bmicq5CCRnFGlvZY8mQYP,Sleepy
4hLRBySljQhnEhNBNNdspx,Long Distances,Counting Tides,Long Distances,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2731d9bf7897e4f163ac786cf9d', 'width': 640}",2021-02-19,https://p.scdn.co/mp3-preview/6ba847acee73575ca0bb73a9850e26f8446afb3c?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/4hLRBySljQhnEhNBNNdspx,Sleepy
0ETgVH10Y5yiljMWO5kNtV,Stories,Rebecka Aether,Stories,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27363fe3c09e20ac52db253b802', 'width': 640}",2021-07-29,https://p.scdn.co/mp3-preview/6b6327a8b62d9e91112c0086aa86eeb11119649f?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/0ETgVH10Y5yiljMWO5kNtV,Sleepy
1Dv71hYl7XMbPonSYKqW5m,Dreamland,Beautiful Sleep,Night Hug,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273fb426344db7bdcc5e78c9944', 'width': 640}",2021-05-24,https://p.scdn.co/mp3-preview/5981292906034913ae5a11ad9d739206fa866432?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/1Dv71hYl7XMbPonSYKqW5m,Sleepy
5F82mtEXo9CbyPchaCWDI3,Protostar,Vadodara,Protostar,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273eac9362696f3427ebb9fdc95', 'width': 640}",2021-07-30,https://p.scdn.co/mp3-preview/2f93dc2d4f838b8860336594e6e687979fa62aef?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/5F82mtEXo9CbyPchaCWDI3,Sleepy
2qU2pY9VvSHcc8O6MYrZta,In Time,2 Liter,In Time,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737064b28d8a53b7f71e59f2c1', 'width': 640}",2022-04-29,https://p.scdn.co/mp3-preview/c545c87d93a963875d0e8765c571d5308b661324?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/2qU2pY9VvSHcc8O6MYrZta,Sleepy
0Ci8JFzz4gsoDRY7aUau5o,Linearity,Hypertime,Linearity,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2738ee94539878f3c3953734582', 'width': 640}",2021-07-25,https://p.scdn.co/mp3-preview/f95e9792c5561490390cbc734218072a857aaf39?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/0Ci8JFzz4gsoDRY7aUau5o,Sleepy
1wqc4mp6CKNGnDV3rOTb9M,Imagination,Invertivo,Imagination,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273462814312c75232a02000073', 'width': 640}",2021-09-24,https://p.scdn.co/mp3-preview/257a1c1fcf140541e702b6684fd01dcdd403f8e5?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/1wqc4mp6CKNGnDV3rOTb9M,Sleepy
3F8dD3bpSN4MiQtZJ4TRS1,Eternal Drift,Koen Parker,Eternal Drift,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273851d3377423700928772c36f', 'width': 640}",2021-06-18,https://p.scdn.co/mp3-preview/5c92e8a84d195ef7a08d90d0d6cd7303e6ea2dde?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/3F8dD3bpSN4MiQtZJ4TRS1,Sleepy
33kX0nz5uT0zqq3EYWvUjf,Aestate Nocte,Ferdinando Zetticci,Aestate Nocte,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273eaef27e9c102004270cf73ac', 'width': 640}",2021-06-18,https://p.scdn.co/mp3-preview/934fc72f6a62cfa2675d7d36704af3efcf3ff98d?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/33kX0nz5uT0zqq3EYWvUjf,Sleepy
4sfOO8SiLK78BqfpDYMdGX,Lost For Words,Nadine Gaertner,Lost For Words,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d2365f36be8725e479920880', 'width': 640}",2021-03-05,https://p.scdn.co/mp3-preview/394f24f38017a37ca94578c5a6727e9c5205384b?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/4sfOO8SiLK78BqfpDYMdGX,Sleepy
4doncC7EhGdux1WaAN5pSf,Views From My Window,"['Oddability', 'Beat fanatics']",Views From My Window,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f89043209de32cb5a899b9bc', 'width': 640}",2022-04-15,https://p.scdn.co/mp3-preview/b684cae5a44d3fa29f4b91479b00adf527525d54?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/4doncC7EhGdux1WaAN5pSf,Sleepy
4lanwDkWGgvJMgrdfomThw,As Seen In Silver Halide,Silver Roses,Jibba,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27307b5f01353e9b1e9751e251a', 'width': 640}",2021-02-02,https://p.scdn.co/mp3-preview/d8ed4119be5a05c8db6f9ecaad621038ead260ab?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/4lanwDkWGgvJMgrdfomThw,Sleepy
0qAFa5xFjEyky6mCW2WTXT,Tout Autour De Nous,Iris Guilbert,Tout Autour De Nous,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b8abeadf06d9528ccfdc1f8d', 'width': 640}",2021-07-29,https://p.scdn.co/mp3-preview/b57178fbba96e5cb263e78a55b628b313f654354?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/0qAFa5xFjEyky6mCW2WTXT,Sleepy
