id,track_name,artist_name,album_name,album_cover,release_date,preview_link,spotify_link,playlist_mood,name,length,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,timeSignature
3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie (feat. Wyclef Jean),"['Shakira', 'Wyclef Jean']","Oral Fixation, Vol. 2 (Expanded Edition)","{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27327ddd747545c0d0cfe7595fa', 'width': 640}",2005-11-28,https://p.scdn.co/mp3-preview/5e6f328ae98e7665cb40b4580773ea0107c5631f?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/3ZFTkvIE7kyPt6Nu3PEa7V,Excited,Hips Don't Lie (feat. Wyclef Jean),0 days 00:03:38.093000,0.284,0.778,0.824,0.0,0.405,-5.892,0.0707,100.024,0.758,4.0
4TsmezEQVSZNNPv5RJ65Ov,Pon de Replay,Rihanna,Music Of The Sun,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273b21609e1a2d7c1b7ba8efae2', 'width': 640}",2005-08-29,,https://open.spotify.com/track/4TsmezEQVSZNNPv5RJ65Ov,Excited,Pon de Replay,0 days 00:04:06.960000,0.000155,0.779,0.64,0.00077,0.101,-8.415,0.159,99.019,0.498,4.0
5qTvkDrSfvwDv6RBjjcfQr,Get Busy,Sean Paul,Dutty Rock,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273df82ce803b2a84ce68e66e6d', 'width': 640}",2002-11-12,https://p.scdn.co/mp3-preview/9a9eab3831dd47a764608402f422a58d63475711?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/5qTvkDrSfvwDv6RBjjcfQr,Excited,Get Busy,0 days 00:03:31.666000,0.615,0.735,0.824,0.0,0.158,-4.143,0.036,100.202,0.726,4.0
1hRFVIy9As8OVRk8B7CrD5,When Love Takes Over (feat. Kelly Rowland),David Guetta,One More Love,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f45c50e7cff5f2376c1e36ea', 'width': 640}",2010-11-22,https://p.scdn.co/mp3-preview/bc62fd5158629dda5abbd1ffe2b504dc0a9c70ab?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/1hRFVIy9As8OVRk8B7CrD5,Excited,When Love Takes Over (feat. Kelly Rowland),0 days 00:03:11,0.0165,0.675,0.862,0.000427,0.169,-4.614,0.0253,129.967,0.498,4.0
1dzQoRqT5ucxXVaAhTcT0J,Just Dance,"['Lady Gaga', ""Colby O'Donis""]",The Fame,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273e691217483df8798445c82e2', 'width': 640}",2008-01-01,,https://open.spotify.com/track/1dzQoRqT5ucxXVaAhTcT0J,Excited,Just Dance,0 days 00:04:01.933000,0.0264,0.822,0.739,4.26e-05,0.181,-4.541,0.0311,118.992,0.745,4.0
5rb9QrpfcKFHM1EUbSIurX,Yeah! (feat. Lil Jon & Ludacris),"['Usher', 'Lil Jon', 'Ludacris']",Confessions (Expanded Edition),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273365b3fb800c19f7ff72602da', 'width': 640}",2004-03-23,https://p.scdn.co/mp3-preview/775632d9867341c779b7238f1718f9abd1773061?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/5rb9QrpfcKFHM1EUbSIurX,Excited,Yeah! (feat. Lil Jon & Ludacris),0 days 00:04:10.373000,0.0183,0.894,0.791,0.0,0.0388,-4.699,0.112,105.018,0.583,4.0
2bLqfJjuC5syrsgDsZfGmn,The Way I Are,"['Timbaland', 'Keri Hilson', 'D.O.E.']",Shock Value,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2734ed674ab91bdc566534f9285', 'width': 640}",2007-01-01,,https://open.spotify.com/track/2bLqfJjuC5syrsgDsZfGmn,Excited,The Way I Are,0 days 00:02:59.120000,0.181,0.731,0.807,0.751,0.319,-6.492,0.1,114.759,0.765,4.0
0iGckQFyv6svOfAbAY9aWJ,Hot N Cold,Katy Perry,One Of The Boys,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2733f97d4244eff5852477d9ee0', 'width': 640}",2008-06-17,,https://open.spotify.com/track/0iGckQFyv6svOfAbAY9aWJ,Excited,Hot N Cold,0 days 00:03:40.227000,7.95e-05,0.706,0.841,0.0,0.0688,-3.956,0.0418,132.032,0.861,4.0
6I9VzXrHxO9rA9A5euc8Ak,Toxic,Britney Spears,In The Zone,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273efc6988972cb04105f002cd4', 'width': 640}",2003-11-13,https://p.scdn.co/mp3-preview/7e3699a5a8b20b5847234627839a1c68bfaf5fb4?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/6I9VzXrHxO9rA9A5euc8Ak,Excited,Toxic,0 days 00:03:18.800000,0.0249,0.774,0.838,0.025,0.242,-3.914,0.114,143.04,0.924,4.0
5aEqcblO0Z6JloFJXtxyhe,Everytime We Touch,Cascada,Platinum,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27378c11c1af300d7dc95191066', 'width': 640}",2006,https://p.scdn.co/mp3-preview/7a34e01fad57b4862f4799afb46f3a1efb0fcaff?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/5aEqcblO0Z6JloFJXtxyhe,Excited,Everytime We Touch,0 days 00:03:17.124000,0.00281,0.633,0.976,1.29e-05,0.382,-5.362,0.0519,142.027,0.493,4.0
2VOomzT6VavJOGBeySqaMc,Disturbia,Rihanna,Good Girl Gone Bad: Reloaded,"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273f9f27162ab1ed45b8d7a7e98', 'width': 640}",2008-06-02,,https://open.spotify.com/track/2VOomzT6VavJOGBeySqaMc,Excited,Disturbia,0 days 00:03:58.627000,0.0863,0.707,0.813,0.0,0.168,-4.515,0.0571,124.921,0.722,4.0
0HPD5WQqrq7wPWR7P7Dw1i,TiK ToK,Kesha,Animal (Expanded Edition),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b2737a6339d6ddfd579f77559b3c', 'width': 640}",2010-01-01,https://p.scdn.co/mp3-preview/61ea5def239730cb0e68ac44f114239369a31a84?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/0HPD5WQqrq7wPWR7P7Dw1i,Excited,TiK ToK,0 days 00:03:19.693000,0.0991,0.755,0.837,0.0,0.289,-2.718,0.142,120.028,0.714,4.0
3GpbwCm3YxiWDvy29Uo3vP,Right Round,Flo Rida,R.O.O.T.S. (Route of Overcoming the Struggle),"{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27318aa5d7e6d484b832cd5d03f', 'width': 640}",2009-03-30,https://p.scdn.co/mp3-preview/e68dff502227dcfb21b0a79bfc17425ac0ce5273?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/3GpbwCm3YxiWDvy29Uo3vP,Excited,Right Round,0 days 00:03:24.640000,0.009,0.72,0.672,0.0,0.232,-6.852,0.0551,124.986,0.705,4.0
