id,genre,track_name,artist_name,album_name,album_cover,release_date,preview_link,spotify_link,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,playlist_mood
54KFQB6N4pn926IUUYZGzK,acoustic,To Build A Home,"The Cinematic Orchestra,Patrick Watson",Ma Fleur,https://i.scdn.co/image/ab67616d0000b273e9101167efda432462dfec58,2007-05-07,https://p.scdn.co/mp3-preview/9f30342a6568f55c84205d27a66225dce393a978?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/54KFQB6N4pn926IUUYZGzK,0.885,0.264,0.122,0.349,0.094,-15.399,0.0349,148.658,0.0735,Calm
1LiteNBpuy5ltDtESG1rmr,acoustic,Feel the Same,Joshua James,From the Top of Willamette Mountain,https://i.scdn.co/image/ab67616d0000b27316ba448474f64083cdbe3878,2012-11-27,,https://open.spotify.com/track/1LiteNBpuy5ltDtESG1rmr,0.747,0.346,0.562,0.237,0.148,-9.289,0.0442,141.354,0.261,Calm
3cnRYoW4nYzIuVPCp7k5iG,acoustic,Breakdown,Jack Johnson,In Between Dreams,https://i.scdn.co/image/ab67616d0000b27306b42768ebe736eec21336ea,2005-01-01,,https://open.spotify.com/track/3cnRYoW4nYzIuVPCp7k5iG,0.627,0.773,0.394,1.36e-05,0.0953,-9.252,0.0516,74.977,0.443,Calm
277Q2UaF8FeL7WNWQgzdlk,acoustic,Place To Be,Nick Drake,Pink Moon,https://i.scdn.co/image/ab67616d0000b273b0f83e4578acef71f7bc2066,1972-02-25,,https://open.spotify.com/track/277Q2UaF8FeL7WNWQgzdlk,0.89,0.347,0.234,0.278,0.111,-16.237,0.0358,54.455,0.432,Calm
1nuqzCMgj2lxZCmpdCmIGv,acoustic,A Lack of Color,Death Cab for Cutie,The O.C. Vol. 2,https://i.scdn.co/image/ab67616d0000b27370b4e802e60ab29b5cca35f7,2004-10-25,https://p.scdn.co/mp3-preview/feb0067b790e55c1b5d495b451006f18a2b10017?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/1nuqzCMgj2lxZCmpdCmIGv,0.805,0.635,0.337,0.00256,0.142,-12.125,0.0288,135.826,0.357,Calm
7utRJ4BeYx85khzP3lKoBX,acoustic,Tears in Heaven,Eric Clapton,Clapton Chronicles: The Best of Eric Clapton,https://i.scdn.co/image/ab67616d0000b273ed4b2a6ea7d8a04f39be0be0,1999-10-12,https://p.scdn.co/mp3-preview/33744e78d786155fbb130af80b14ad1074b37943?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/7utRJ4BeYx85khzP3lKoBX,0.835,0.498,0.242,0.536,0.133,-12.238,0.0257,153.744,0.312,Calm
2FeUZsmNGWc3No6v9GCdST,acoustic,"Piazza, New York Catcher",Belle and Sebastian,Dear Catastrophe Waitress,https://i.scdn.co/image/ab67616d0000b273c80e89b17666f102a97a53c1,2003-10-06,,https://open.spotify.com/track/2FeUZsmNGWc3No6v9GCdST,0.829,0.619,0.309,0.0,0.102,-15.098,0.0367,105.566,0.82,Calm
4dHEQ1W1jRmNjjB0S7vB8V,acoustic,re:stacks,Bon Iver,"For Emma, Forever Ago",https://i.scdn.co/image/ab67616d0000b273b24d0c9c4497ac030317b6ec,2007-07-08,,https://open.spotify.com/track/4dHEQ1W1jRmNjjB0S7vB8V,0.978,0.678,0.0813,0.358,0.123,-22.859,0.0406,125.066,0.304,Calm
1uXHWnZ85lhAf19DRzU3Oz,acoustic,Walking Aimlessly,Anna Ternheim,The Night Visitor,https://i.scdn.co/image/ab67616d0000b273c9c5334d167e3dfe9b2dbf72,2011-10-28,,https://open.spotify.com/track/1uXHWnZ85lhAf19DRzU3Oz,0.78,0.541,0.302,0.0262,0.114,-12.793,0.0282,101.016,0.344,Calm
06eEMrvlkBmLLaezDSDcEl,afrobeat,A Vava Inouva,Idir,A Vava Inouva,https://i.scdn.co/image/ab67616d0000b2731f50b240451792d95c285e20,1991-07-20,https://p.scdn.co/mp3-preview/9a0800f31513737e93eb4a013410714f154cea8e?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/06eEMrvlkBmLLaezDSDcEl,0.964,0.716,0.21,0.0123,0.0837,-19.576,0.0395,111.908,0.432,Calm
71GvlH0VdeClloLIkHrAVu,afrobeat,Diamonds on the Soles of Her Shoes,Paul Simon,Graceland (25th Anniversary Deluxe Edition),https://i.scdn.co/image/ab67616d0000b27309880a7b8636c5a0615dc0c8,1986-08-12,https://p.scdn.co/mp3-preview/68d43ba86a6b54e50d1d93519903f40d831b0c82?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/71GvlH0VdeClloLIkHrAVu,0.776,0.791,0.677,0.00121,0.224,-9.724,0.0356,110.64,0.876,Calm
27GnEDsZv4UFNgB7X1Btri,afrobeat,Oh My Way to Bamako,"Habib Koité,Eric Bibb",Brothers in Bamako,https://i.scdn.co/image/ab67616d0000b273331c72f216e8eced4126daa3,2012-10-09,https://p.scdn.co/mp3-preview/4765ffb0c7ba192d57cf16fa497e5e81118b5990?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/27GnEDsZv4UFNgB7X1Btri,0.819,0.63,0.325,0.000479,0.105,-12.076,0.0317,91.968,0.79,Calm
2nOA0eWaCLdMuRQ0UVitoJ,afrobeat,Be Mankan,"Ali Farka Touré,Toumani Diabaté",Ali & Toumani,https://i.scdn.co/image/ab67616d0000b273962f912d9500f49a0a4140a3,2010-02-22,,https://open.spotify.com/track/2nOA0eWaCLdMuRQ0UVitoJ,0.9,0.583,0.206,0.38,0.123,-12.297,0.0416,123.362,0.483,Calm
7xefa61CMn5FZVmQQQfcuX,afrobeat,Mulatu,Mulatu Astatke,New York - Addis - London: The Story of Ethio Jazz 1965-1975,https://i.scdn.co/image/ab67616d0000b2734dd657292c59f91761a2ea79,1969,,https://open.spotify.com/track/7xefa61CMn5FZVmQQQfcuX,0.508,0.463,0.406,0.182,0.128,-15.143,0.0602,155.862,0.722,Calm
5zsFpdxEx1JxvMNN9afHor,alt-rock,Imagine,A Perfect Circle,Three Sixty,https://i.scdn.co/image/ab67616d0000b2738d58ab09660a379be9516262,2013-01-01,,https://open.spotify.com/track/5zsFpdxEx1JxvMNN9afHor,0.0512,0.539,0.476,0.00347,0.114,-6.125,0.0252,73.071,0.178,Calm
0r889dvYqWPXM3luCPNXCu,alternative,World Heaves,Mount Eerie,World Heaves,https://i.scdn.co/image/ab67616d0000b27344743bef9b840161e583e7bb,2012-08-28,,https://open.spotify.com/track/0r889dvYqWPXM3luCPNXCu,0.105,0.353,0.224,0.817,0.0975,-11.177,0.033,112.598,0.0805,Calm
5wLBkpEwHIlNZJaeh0s7bR,alternative,Hello My Old Heart,The Oh Hellos,The Oh Hello's,https://i.scdn.co/image/ab67616d0000b273a4f6a901f41fc68ad194f49d,2011-12-01,,https://open.spotify.com/track/5wLBkpEwHIlNZJaeh0s7bR,0.624,0.557,0.299,0.0308,0.0914,-10.634,0.0266,90.081,0.297,Calm
3aLCMI1ybjE4KWu9nkUBkx,alternative,Submarines,The Lumineers,The Lumineers,https://i.scdn.co/image/ab67616d0000b2739a36ab0a012256617dc316a2,2012-04-03,,https://open.spotify.com/track/3aLCMI1ybjE4KWu9nkUBkx,0.908,0.809,0.52,0.125,0.308,-9.828,0.0322,95.031,0.585,Calm
3ZPTb9HHBRt2VDbsIUFnSD,alternative,Shine,Collective Soul,Rhino Hi-Five: Collective Soul,https://i.scdn.co/image/ab67616d0000b27302433a7aa53ecf8239eb76d0,2005-08-23,,https://open.spotify.com/track/3ZPTb9HHBRt2VDbsIUFnSD,0.294,0.54,0.423,0.0884,0.152,-8.799,0.0283,150.135,0.353,Calm
3k9qjgu8zVKTEuJVJIYyc0,alternative,Just Breathe,Pearl Jam,Backspacer,https://i.scdn.co/image/ab67616d0000b2736093be941cf92f40da498fd4,2009-09-21,,https://open.spotify.com/track/3k9qjgu8zVKTEuJVJIYyc0,0.714,0.453,0.349,7.94e-05,0.0835,-11.077,0.0289,107.791,0.302,Calm
42BAwiGC1egjbiJ6y512Tz,alternative,Turning Page,Sleeping At Last,The Twilight Saga: Breaking Dawn - Part 1 (Original Motion Picture Soundtrack),https://i.scdn.co/image/ab67616d0000b273f01ba25235fb24f73605b9dd,2011-11-04,https://p.scdn.co/mp3-preview/c509ae0e6614ce1b03ddf1ce054f8959da5c1ee3?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/42BAwiGC1egjbiJ6y512Tz,0.912,0.304,0.379,0.025,0.112,-8.484,0.029,125.203,0.189,Calm
04UBITnrDyrwGU1dB2tW9B,ambient,Vortex,Carbon Based Lifeforms,World Of Sleepers,https://i.scdn.co/image/ab67616d0000b27397ce315e0ddcad1f5ff422bb,2006-11-27,,https://open.spotify.com/track/04UBITnrDyrwGU1dB2tW9B,0.699,0.355,0.39,0.91,0.0881,-15.805,0.0516,159.973,0.15,Calm
0jVy0Y3QEtUKsrIHAZuR45,ambient,I Can Almost See You,Hammock,Raising Your Voice...Trying to Stop an Echo,https://i.scdn.co/image/ab67616d0000b273459164b1f709a4d04ef28855,2006-08-06,,https://open.spotify.com/track/0jVy0Y3QEtUKsrIHAZuR45,0.78,0.0964,0.46,0.814,0.0909,-9.822,0.0352,87.912,0.04,Calm
4gglp4mdtiFJk996t0II7s,ambient,The Things I Tell You,Biosphere,Substrata,https://i.scdn.co/image/ab67616d0000b273ff62d9a27c00cbc97cdc9983,2001,,https://open.spotify.com/track/4gglp4mdtiFJk996t0II7s,0.921,0.254,0.0652,0.922,0.0758,-32.599,0.059,214.744,0.419,Calm
7LKcGMcgzuj6OTeaI05p1T,ambient,M,Carbon Based Lifeforms,Interloper,https://i.scdn.co/image/ab67616d0000b2736b270a81c8c4052b61f89508,2010-06-07,,https://open.spotify.com/track/7LKcGMcgzuj6OTeaI05p1T,0.000318,0.389,0.393,0.934,0.0822,-13.05,0.0281,99.983,0.0396,Calm
7D466lnRuZn7ImPPnSgDoe,ambient,The Messiah Is Falling,Ulrich Schnauss & Mark Peters,Underrated Silence,https://i.scdn.co/image/ab67616d0000b2732d1a2d3b0f023b87a8d29476,2012-02-03,,https://open.spotify.com/track/7D466lnRuZn7ImPPnSgDoe,0.494,0.376,0.306,0.809,0.0953,-14.615,0.0301,62.516,0.0617,Calm
1mZcyKIx0ctPbF2NAvG8AE,ambient,Sunrise Projector,Tycho,Past Is Prologue,https://i.scdn.co/image/ab67616d0000b273c9af9a997054d05de1245813,2006,,https://open.spotify.com/track/1mZcyKIx0ctPbF2NAvG8AE,0.867,0.609,0.337,0.549,0.0899,-12.964,0.0321,99.996,0.114,Calm
4zcgiC2Vw4su0U6QOCGCMO,ambient,Amateur Cartography,Obfusc,Cities Of Cedar,https://i.scdn.co/image/ab67616d0000b2731dfae160d08a797bfee802d4,2008-07-29,https://p.scdn.co/mp3-preview/67726f8e7bd1b7870fee89018b2d1fa07354d153?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/4zcgiC2Vw4su0U6QOCGCMO,0.915,0.357,0.347,0.867,0.0803,-15.774,0.0344,179.976,0.0372,Calm
35Fkc3cctib935tVctHuD3,ambient,Dissolving Time,H.U.V.A. Network,Ephemeris,https://i.scdn.co/image/ab67616d0000b273b782c5c8f99665577f6c9e22,2009-03-24,,https://open.spotify.com/track/35Fkc3cctib935tVctHuD3,0.0111,0.502,0.451,0.83,0.066,-14.885,0.0387,90.001,0.191,Calm
0Vl8bCecLR1t49sQmCubbH,ambient,"Hægt, kemur ljósið",Ólafur Arnalds,...and they have escaped the weight of darkness,https://i.scdn.co/image/113048461b1c9fafc2609733eef37e49883353ba,2010-05-07,,https://open.spotify.com/track/0Vl8bCecLR1t49sQmCubbH,0.909,0.114,0.257,0.908,0.199,-14.266,0.0337,88.846,0.0624,Calm
56ZqOPBDrB2Gky4WyigPZL,ambient,"Austin Texas Mental Hospital, Pt. 1",Stars Of The Lid,The Tired Sounds of Stars of the Lid,https://i.scdn.co/image/ab67616d0000b27365ff58390f0b7c44ec4d7aa5,2001-10-01,https://p.scdn.co/mp3-preview/4ae656bc16619b15bf6c59da88487d9386809912?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/56ZqOPBDrB2Gky4WyigPZL,0.953,0.0843,0.225,0.838,0.122,-17.751,0.0449,167.404,0.0304,Calm
3RAkRmc5LdRkUlKfDhkR7X,ambient,Bob In Your Gait,Julianna Barwick,The Magic Place,https://i.scdn.co/image/ab67616d0000b2736811cf01347f5701613ac226,2011,,https://open.spotify.com/track/3RAkRmc5LdRkUlKfDhkR7X,0.863,0.245,0.211,0.812,0.097,-16.086,0.0391,81.466,0.0399,Calm
0YkKDfTYI70WkYSBWh2LQM,ambient,2-Step,Low,Secret Name,https://i.scdn.co/image/ab67616d0000b273fbe0a656a8db29969739d1b2,1999-01-01,https://p.scdn.co/mp3-preview/1341a0db1c561e71ea384cc724a78c4a42f35edb?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/0YkKDfTYI70WkYSBWh2LQM,0.804,0.374,0.113,0.835,0.121,-15.006,0.0307,107.954,0.0516,Calm
6zYBmqPOc1vB5R4WekqlkR,ambient,The Only Moment We Were Alone,Explosions In The Sky,The Earth Is Not a Cold Dead Place,https://i.scdn.co/image/ab67616d0000b273ec5724c2621c446f04c10af4,2003-11-04,,https://open.spotify.com/track/6zYBmqPOc1vB5R4WekqlkR,0.0133,0.296,0.471,0.833,0.376,-13.293,0.0375,117.268,0.0361,Calm
53AVO74VO9jHqRcMgaLzpM,ambient,Dive (Keep Shelly in Athens Remix),"Tycho,Keep Shelly In Athens",Dive (Deluxe Version),https://i.scdn.co/image/ab67616d0000b27387d848dc7d58297c708fc22d,2012-09-04,,https://open.spotify.com/track/53AVO74VO9jHqRcMgaLzpM,0.366,0.184,0.459,0.966,0.164,-11.652,0.0479,41.497,0.0915,Calm
6Rkr9b1ooiIgcebMRATPhD,ambient,Lesser Heaven,"Brian Eno,Jon Hopkins,Leo Abrahams",Small Craft On A Milk Sea,https://i.scdn.co/image/ab67616d0000b273b6dd5b760aa653f737d6252e,2010-11-01,https://p.scdn.co/mp3-preview/bd6c676b580ebe38c6311a5d36ac456b8d15e22c?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/6Rkr9b1ooiIgcebMRATPhD,0.98,0.151,0.129,0.969,0.0725,-21.225,0.0566,170.548,0.0377,Calm
6yYV3V3jqeWXinATQmngVc,ambient,Mimeo,Efterklang,Parades,https://i.scdn.co/image/ab67616d0000b2731dd8762849cebbc22f58ad8f,2007,,https://open.spotify.com/track/6yYV3V3jqeWXinATQmngVc,0.994,0.44,0.00171,0.922,0.0946,-31.144,0.0875,85.07,0.674,Calm
3xed88rnG1akCkFu9xwPDq,ambient,Coming Home,Röyksopp,Senior,https://i.scdn.co/image/ab67616d0000b27320be1ef2cd9b27d0f405e5cb,2010-06-02,,https://open.spotify.com/track/3xed88rnG1akCkFu9xwPDq,0.815,0.384,0.336,0.896,0.333,-16.233,0.0278,80.229,0.217,Calm
3Cf47MOQsa3ijid90gr5Io,ambient,Tomorrow's Song,Ólafur Arnalds,Living Room Songs,https://i.scdn.co/image/5741c5f8c54e042e4f8a6535293e564f6726467f,2011-12-02,,https://open.spotify.com/track/3Cf47MOQsa3ijid90gr5Io,0.988,0.435,0.0428,0.929,0.107,-25.853,0.0377,141.316,0.152,Calm
