id,genre,track_name,artist_name,album_name,album_cover,release_date,preview_link,spotify_link,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,playlist_mood
0vWjNkwgkTnyzfeLdTKWJ7,acoustic,Roar,"Alex Goot,Sam Tsui",Roar,https://i.scdn.co/image/ab67616d0000b273742fa66ee819dd42a75ccf45,2013-09-17,https://p.scdn.co/mp3-preview/bf9138f2eb6dbed36d5f556f4be29b6dba5e0d4f?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/0vWjNkwgkTnyzfeLdTKWJ7,0.695,0.64,0.394,0.0,0.0741,-7.258,0.0263,89.963,0.425,Delighted
2hKdd3qO7cWr2Jo0Bcs0MA,acoustic,Drops of Jupiter (Tell Me),Train,Drops Of Jupiter,https://i.scdn.co/image/ab67616d0000b273a65df73c4011b6a9357c89f0,2001-03-27,https://p.scdn.co/mp3-preview/1285985674ea02be27daa5d20df0a285b0252b79?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/2hKdd3qO7cWr2Jo0Bcs0MA,0.153,0.481,0.638,0.0,0.154,-5.862,0.0276,79.064,0.497,Delighted
1w3ybWVQiP47fu00GRlFHb,acoustic,Old Pine - Spotify - Rockfeedback Session,Ben Howard,Every Kingdom (Deluxe Version),https://i.scdn.co/image/ab67616d0000b273ad5bfd61585db777e1886c95,2011-01-01,,https://open.spotify.com/track/1w3ybWVQiP47fu00GRlFHb,0.757,0.416,0.334,0.00452,0.682,-10.241,0.0317,145.929,0.3,Delighted
7IByJvSqRFltGyiiIiL4wn,acoustic,Who You Love (feat. Katy Perry),"John Mayer,Katy Perry",Paradise Valley,https://i.scdn.co/image/ab67616d0000b2738e3ab1cbd76d15dc64450a13,2013-08-20,https://p.scdn.co/mp3-preview/f3c5f3bf5a4614af5422dd0858d7697614996f60?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/7IByJvSqRFltGyiiIiL4wn,0.813,0.694,0.351,0.00165,0.097,-10.92,0.0382,145.907,0.691,Delighted
6ERQqdIkr7Rp4tt52Eep6r,acoustic,The Look Of Love,Diana Krall,The Very Best Of Diana Krall (UK Version),https://i.scdn.co/image/ab67616d0000b273a2432efda72565b9aa1a4a24,2007-09-14,,https://open.spotify.com/track/6ERQqdIkr7Rp4tt52Eep6r,0.649,0.585,0.266,0.00554,0.0903,-14.692,0.0271,93.009,0.366,Delighted
3gqP2hxwgi6mb8FhtEe4zU,acoustic,The Wolves,Ben Howard,Every Kingdom (Deluxe Version),https://i.scdn.co/image/ab67616d0000b273ad5bfd61585db777e1886c95,2011-01-01,,https://open.spotify.com/track/3gqP2hxwgi6mb8FhtEe4zU,0.312,0.496,0.531,0.00901,0.113,-9.889,0.0325,119.159,0.507,Delighted
2lFTzUnuGaWlWHJQokjRyb,acoustic,Blue Jeans,Lana Del Rey,Born To Die - The Paradise Edition,https://i.scdn.co/image/ab67616d0000b273cb76604d9c5963544cf5be64,2012-11-12,,https://open.spotify.com/track/2lFTzUnuGaWlWHJQokjRyb,0.418,0.558,0.837,0.0,0.0821,-4.405,0.0633,117.963,0.488,Delighted
5SdG78xwNRsjXmFGhm9Z8D,acoustic,Om du letar efter nån,Melissa Horn,Innan jag kände dig,https://i.scdn.co/image/ab67616d0000b273052277c22950c49fe7c34c97,2011-09-12,https://p.scdn.co/mp3-preview/716a7dc7657d9734d27df560f688d2d660ca7c2f?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/5SdG78xwNRsjXmFGhm9Z8D,0.81,0.556,0.284,9.54e-05,0.187,-15.177,0.0302,130.009,0.658,Delighted
74XzT6sJuCIw0Py539SNQR,acoustic,"A Girl, a Boy, and a Graveyard",jeremy messersmith,The Reluctant Graveyard,https://i.scdn.co/image/ab67616d0000b273a5e55b82f0e25d6bb5ead042,2010-05-04,,https://open.spotify.com/track/74XzT6sJuCIw0Py539SNQR,0.77,0.347,0.136,7.47e-05,0.133,-13.677,0.0346,178.821,0.457,Delighted
6mFzy1Jha9RSCcQAJZ1M6y,acoustic,Gangnam Style,Jayesslee,Gangnam Style,https://i.scdn.co/image/ab67616d0000b273f87fc0ee10c258ec17a7627c,2013-02-01,https://p.scdn.co/mp3-preview/1bba9c618ac9cecec0d46a7e12cd9e602a763d82?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/6mFzy1Jha9RSCcQAJZ1M6y,0.8,0.825,0.391,0.0,0.276,-10.827,0.0518,114.07,0.591,Delighted
0EUSbTvyZfo9QOcxunL9Ro,acoustic,"In Your Atmosphere - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,Where the Light Is: John Mayer Live In Los Angeles,https://i.scdn.co/image/ab67616d0000b2735b9c332f9f76cabc137e400f,2008,https://p.scdn.co/mp3-preview/85b981029f94fd8ba5cf94dc32f002d3e08f0f12?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/0EUSbTvyZfo9QOcxunL9Ro,0.714,0.372,0.442,8.68e-05,0.966,-11.488,0.0289,92.72,0.297,Delighted
3xZMPZQYETEn4hjor3TR1A,acoustic,Angel,Sarah McLachlan,Surfacing,https://i.scdn.co/image/ab67616d0000b2739469c3ab051994ec802574a6,1997-08-29,https://p.scdn.co/mp3-preview/92d30e4d51ecfbbd9c8ae4758e65268ac20b70d1?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/3xZMPZQYETEn4hjor3TR1A,0.949,0.532,0.0744,1.22e-05,0.106,-16.092,0.0355,117.131,0.125,Delighted
6wZI4mdT8JwXgkGURnBQiq,acoustic,Say,John Mayer,Say,https://i.scdn.co/image/ab67616d0000b2736fa5036b2308292143ae5d2a,2006-10-13,https://p.scdn.co/mp3-preview/071730ff47f62b8dc871ad085ec7459d26306037?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/6wZI4mdT8JwXgkGURnBQiq,0.541,0.485,0.723,1.12e-06,0.075,-6.565,0.0317,167.845,0.541,Delighted
4oeRfmp9XpKWym6YD1WvBP,acoustic,You and I,Ingrid Michaelson,Be OK,https://i.scdn.co/image/ab67616d0000b273866dc0fd5fbfd51fd4c50919,2008-01-01,,https://open.spotify.com/track/4oeRfmp9XpKWym6YD1WvBP,0.92,0.697,0.298,0.0,0.0874,-7.635,0.0551,134.216,0.509,Delighted
6rBgysDXImbq8b61tzVWSn,acoustic,High and Dry,Radiohead,The Best Of,https://i.scdn.co/image/ab67616d0000b273824c66741c7a28fed0c4a376,2008-04-07,,https://open.spotify.com/track/6rBgysDXImbq8b61tzVWSn,0.0718,0.418,0.383,0.0177,0.0896,-11.782,0.0257,87.773,0.352,Delighted
2qppEPX84bYQmgBjCeF8FO,acoustic,Love Is All,The Tallest Man On Earth,The Wild Hunt,https://i.scdn.co/image/ab67616d0000b2736c794d114a06812b76e2939c,2010-04-12,,https://open.spotify.com/track/2qppEPX84bYQmgBjCeF8FO,0.931,0.63,0.254,0.000375,0.108,-11.48,0.0299,107.238,0.354,Delighted
2izoqbHZCGaoFOO8vcc1hK,acoustic,Boyfriend,Alex G,Boyfriend,https://i.scdn.co/image/ab67616d0000b27334a4c7a796c13b45e378c368,2012-04-09,,https://open.spotify.com/track/2izoqbHZCGaoFOO8vcc1hK,0.6,0.781,0.737,0.0,0.34,-5.337,0.213,93.077,0.741,Delighted
1hVQx6bg4uKPljAUkNjpY2,acoustic,Your Song,Ellie Goulding,Your Song,https://i.scdn.co/image/ab67616d0000b273cfe9616d25f4cb5ea0868c9f,2010-01-01,,https://open.spotify.com/track/1hVQx6bg4uKPljAUkNjpY2,0.938,0.42,0.182,0.000237,0.164,-11.864,0.032,130.081,0.434,Delighted
3YPiRYIUFlcQ0aaLGmeswS,acoustic,Sunburn - Deluxe Edition,Ed Sheeran,+,https://i.scdn.co/image/ab67616d0000b273ed139c2e0e3681cc2d35e256,2011-09-09,https://p.scdn.co/mp3-preview/a74ba84932b51c5f9821c30385576fc0c7ad93ed?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/3YPiRYIUFlcQ0aaLGmeswS,0.865,0.464,0.098,0.0,0.101,-12.119,0.0376,78.864,0.234,Delighted
6IQTaNmbMMO1mX3p8iwEBQ,acoustic,Angeles,Elliott Smith,Either/Or,https://i.scdn.co/image/ab67616d0000b273399eb195198d0a5b1e4b8fcf,1997-02-25,,https://open.spotify.com/track/6IQTaNmbMMO1mX3p8iwEBQ,0.86,0.53,0.0993,0.2,0.153,-23.548,0.0549,118.139,0.588,Delighted
5ZzaWzLT7KjRUhtMra8uJm,acoustic,Cradlesong,Soap&Skin,Narrow,https://i.scdn.co/image/ab67616d0000b273f6764a06502ee0ea1f3ae306,2012-02-13,,https://open.spotify.com/track/5ZzaWzLT7KjRUhtMra8uJm,0.935,0.43,0.16,0.011,0.319,-12.009,0.0326,82.864,0.218,Delighted
39f53y1dfP5hT6LQMDDvpp,acoustic,Purple Rain,Urselle,Vintage Café - Lounge & Jazz Blends,https://i.scdn.co/image/ab67616d0000b273f4886d2f724eab62597669d8,2007-09-01,https://p.scdn.co/mp3-preview/cfd6db9c22b9e9a6159968ba9a1f66a1a9ba9f94?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/39f53y1dfP5hT6LQMDDvpp,0.8,0.402,0.309,0.00552,0.115,-13.987,0.0361,72.97,0.236,Delighted
