id,genre,track_name,artist_name,album_name,album_cover,release_date,preview_link,spotify_link,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,playlist_mood
2gT7FMqbkW9dG5ILrCcZZw,acoustic,She Don't Like The Lights,Justin Bieber,Believe (Deluxe Edition),https://i.scdn.co/image/ab67616d0000b273adc5af517133ca221870f112,2012-01-01,,https://open.spotify.com/track/2gT7FMqbkW9dG5ILrCcZZw,0.00965,0.573,0.913,0.00341,0.353,-4.575,0.14,123.982,0.524,Excited
3bhEeOaJWG0JDoF1hd2IUm,acoustic,Half of My Heart (feat. Savannah Outen),"Boyce Avenue,Savannah Outen","Cover Collaborations, Vol. 1",https://i.scdn.co/image/ab67616d0000b273f4d160a1af71cf538d2d3eed,2010-12-06,,https://open.spotify.com/track/3bhEeOaJWG0JDoF1hd2IUm,0.22,0.657,0.759,0.0,0.302,-6.711,0.0467,118.493,0.811,Excited
5KL4iZkCTZyXl7KnHgfVDj,acoustic,"You Need Me, I Don't Need You",Ed Sheeran,+,https://i.scdn.co/image/ab67616d0000b273ed139c2e0e3681cc2d35e256,2011-09-09,https://p.scdn.co/mp3-preview/f0919ae8c1b269796f194ea030c94d078ed814cb?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/5KL4iZkCTZyXl7KnHgfVDj,0.162,0.749,0.837,0.0,0.525,-8.837,0.0512,103.483,0.927,Excited
2ds9vlk6o6BRCc2FAkmOvX,acoustic,Beat It,"Fall Out Boy,John Mayer",Believers Never Die - Greatest Hits,https://i.scdn.co/image/ab67616d0000b2734cfa5f3a8098c4fe74746d6a,2009-01-01,,https://open.spotify.com/track/2ds9vlk6o6BRCc2FAkmOvX,0.0195,0.557,0.936,1.5e-06,0.305,-3.694,0.0681,149.954,0.841,Excited
2OuR1hZQQBk2GTo5cDtw2R,afrobeat,Baby Oku,Flavour,Blessed,https://i.scdn.co/image/ab67616d0000b273f70a4c169e58b3a645c633c5,2012-10-18,,https://open.spotify.com/track/2OuR1hZQQBk2GTo5cDtw2R,0.549,0.709,0.865,0.0,0.0688,-4.258,0.0363,95.023,0.883,Excited
3Yf8sVkFXThHDtkqtSNbpZ,afrobeat,Kukere,Iyanya,Kukere,https://i.scdn.co/image/ab67616d0000b27330df9d9bd7fca336c4d406ec,2012-04-27,,https://open.spotify.com/track/3Yf8sVkFXThHDtkqtSNbpZ,0.0179,0.757,0.853,0.00284,0.0452,-4.392,0.0601,130.058,0.965,Excited
42IYxLRKGbjMXDy8yLNT7c,afrobeat,Sana,Kanda Bongo Man,Le Rendez-Vous Des Stades,https://i.scdn.co/image/ab67616d0000b2739544b9ed426684809b3103c7,2010-05-03,,https://open.spotify.com/track/42IYxLRKGbjMXDy8yLNT7c,0.163,0.699,0.89,0.00357,0.109,-10.007,0.0329,134.023,0.887,Excited
14fmbvjYLqRZEXz1VZdM2M,afrobeat,We Found Love,"Rihanna,Calvin Harris",We Found Love,https://i.scdn.co/image/ab67616d0000b27316445c547675596e96a957f4,2011-09-22,,https://open.spotify.com/track/14fmbvjYLqRZEXz1VZdM2M,0.0225,0.755,0.74,0.00139,0.124,-4.951,0.0407,127.98,0.609,Excited
5kPFGrFpDUrsfgu3rfmsPf,afrobeat,Moyen te,Awilo Longomba,Moto pamba,https://i.scdn.co/image/ab67616d0000b2737dc14edca8290e57ed15737a,2013,https://p.scdn.co/mp3-preview/b55f7435c81b1d658234a58d4fda170890d15ac3?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/5kPFGrFpDUrsfgu3rfmsPf,0.388,0.73,0.93,1.48e-06,0.0736,-4.969,0.0483,126.384,0.963,Excited
3YJlTDtUXu1sGh8lunblkG,afrobeat,Only Girl (In The World),Rihanna,Only Girl (In The World),https://i.scdn.co/image/ab67616d0000b2738ed1b667472758e050fd86f5,2010-09-10,,https://open.spotify.com/track/3YJlTDtUXu1sGh8lunblkG,0.0524,0.768,0.738,3.01e-05,0.0561,-3.017,0.0406,125.928,0.685,Excited
2VCIHU3m2zOoz9U4uTZqox,afrobeat,Létt ma,Youssou N'Dour,Rokku Mi Rokka (Give and Take),https://i.scdn.co/image/ab67616d0000b273db85a3011629dbbbecb32b0d,2007-10-29,https://p.scdn.co/mp3-preview/75c214364e02e09df1d42038571256e8b42a4155?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/2VCIHU3m2zOoz9U4uTZqox,0.223,0.816,0.885,0.00295,0.093,-4.749,0.0593,92.018,0.867,Excited
1Ogg5nXrqc4AeMf1ryq0uL,afrobeat,C'est Pas Facile Pour Les Aigles - feat. Ebony Bones,Amadou & Mariam,Folila,https://i.scdn.co/image/ab67616d0000b2738e7c50f498923250e19072e6,2012-03-28,,https://open.spotify.com/track/1Ogg5nXrqc4AeMf1ryq0uL,0.0575,0.572,0.855,0.335,0.38,-5.181,0.0818,134.038,0.821,Excited
7pnmp2jZvY0vRg6AYE5gi6,afrobeat,Bula Bula,Mabulu,Rough Guide To World Music for Children,https://i.scdn.co/image/ab67616d0000b273f6d57fdf872535e79fba2082,2010-03-15,,https://open.spotify.com/track/7pnmp2jZvY0vRg6AYE5gi6,0.516,0.625,0.742,0.000237,0.119,-11.606,0.066,121.594,0.842,Excited
28O4PwkH8bzARStxeL4pxL,afrobeat,Sexy Bitch (feat. Akon),David Guetta,Sexy Bitch,https://i.scdn.co/image/ab67616d0000b273b5fab3b3ffa4e1543d2bb4a3,2009-08-14,,https://open.spotify.com/track/28O4PwkH8bzARStxeL4pxL,0.0744,0.815,0.633,0.000287,0.148,-4.99,0.0486,130.016,0.853,Excited
3aE0O99WPzRZ0UeSX9Boan,afrobeat,Tonight,Burna Boy,Tonight,https://i.scdn.co/image/ab67616d0000b273cfeaeb1974933bef9699ebec,2012-09-24,https://p.scdn.co/mp3-preview/be6f229beadb136d0538d2c66d5e73cb7c77536a?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/3aE0O99WPzRZ0UeSX9Boan,0.0123,0.786,0.624,0.0,0.0748,-8.744,0.0538,112.016,0.711,Excited
