id,genre,track_name,artist_name,album_name,album_cover,release_date,preview_link,spotify_link,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,playlist_mood
0SuG9kyzGRpDqrCWtgD6Lq,acoustic,Give Me Love,Ed Sheeran,+,https://i.scdn.co/image/ab67616d0000b273ed139c2e0e3681cc2d35e256,2011-09-09,https://p.scdn.co/mp3-preview/1750e0969080492c73f209a53fbc2a2ed4a46f98?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/0SuG9kyzGRpDqrCWtgD6Lq,0.694,0.526,0.328,0.0,0.112,-9.864,0.0461,116.068,0.11,Sad
1NdgDGYG4J827IvfeDgF4o,acoustic,Dear Mr. President,P!nk,The People Speak,https://i.scdn.co/image/ab67616d0000b27380f5f93b4c90c205b677b824,2009-01-01,,https://open.spotify.com/track/1NdgDGYG4J827IvfeDgF4o,0.849,0.476,0.299,0.0,0.113,-9.154,0.0385,128.039,0.297,Sad
3xEP8kzYIjbkUrjfsgn8Hh,acoustic,Common Denominator - iTunes Bonus,Justin Bieber,My Worlds (International Version),https://i.scdn.co/image/ab67616d0000b273cd0c179f4cc7c5d4f61b5a28,2010-01-01,,https://open.spotify.com/track/3xEP8kzYIjbkUrjfsgn8Hh,0.227,0.655,0.66,0.0,0.0549,-6.544,0.0274,116.959,0.45,Sad
7E8CTZZ7TvoRNEayjo8vS7,acoustic,Jag vet vilken dy hon varit i,Håkan Hellström,2 steg från paradise (Deluxe Version),https://i.scdn.co/image/ab67616d0000b273e40fe235b308f0a0832f6af5,2010-10-13,,https://open.spotify.com/track/7E8CTZZ7TvoRNEayjo8vS7,0.234,0.27,0.618,0.0,0.2,-6.737,0.0385,141.362,0.27,Sad
0YywjDvFudcaHG74NuWISy,acoustic,People Help the People,Birdy,Birdy,https://i.scdn.co/image/ab67616d0000b273cdebae610076f51e8b7b20f4,2011-11-04,https://p.scdn.co/mp3-preview/663064b48e3517ab232dd4618308db2d9b41889f?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/0YywjDvFudcaHG74NuWISy,0.778,0.407,0.308,1.46e-05,0.092,-9.001,0.0296,73.254,0.153,Sad
7jLwP6B3bcEQFooFZk67cH,acoustic,Somewhere With You,Tyler Ward,"Tyler Ward Covers, Vol. 4",https://i.scdn.co/image/ab67616d0000b2734c4ef9bfde18eb34fd7a6cbd,2011-07-25,https://p.scdn.co/mp3-preview/45ffa1092c43c7a3fe46b73bc07f8c6ce5b6ea0a?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/7jLwP6B3bcEQFooFZk67cH,0.432,0.636,0.4,0.0,0.438,-6.625,0.0302,110.167,0.423,Sad
1DWbTRHEL2x9sZmdagh2Su,acoustic,Hometown Glory (Live at Hotel Cafe),Adele,19,https://i.scdn.co/image/ab67616d0000b2730a5d334a63fd4455ce83b38b,2008-01-28,,https://open.spotify.com/track/1DWbTRHEL2x9sZmdagh2Su,0.922,0.436,0.353,0.00525,0.191,-9.365,0.0312,119.133,0.181,Sad
2xDDetMrYexhj1gKK634iC,acoustic,Don't You Worry Child,"Kurt Hugo Schneider,Sam Tsui",Don't You Worry Child,https://i.scdn.co/image/ab67616d0000b273dc2d3977a2806e71f17abab8,2013-01-11,https://p.scdn.co/mp3-preview/50f05425ce2bf4f2a4bb9763c5d8081a2c3c43e9?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/2xDDetMrYexhj1gKK634iC,0.804,0.518,0.386,0.0,0.633,-9.294,0.0321,124.968,0.287,Sad
0nJW01T7XtvILxQgC5J7Wh,acoustic,When I Was Your Man,Bruno Mars,Unorthodox Jukebox,https://i.scdn.co/image/ab67616d0000b273926f43e7cce571e62720fd46,2012-12-07,https://p.scdn.co/mp3-preview/512a0d69ca896f94f78859bb2e25b42d3836110e?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/0nJW01T7XtvILxQgC5J7Wh,0.932,0.612,0.28,0.0,0.088,-8.648,0.0434,72.795,0.387,Sad
37z3ghNvcoPvHypKWTb2Sz,acoustic,Left for America,Ciaran Lavery,Kosher,https://i.scdn.co/image/ab67616d0000b2734775b6b0d41806081fa0df71,2014-06-20,,https://open.spotify.com/track/37z3ghNvcoPvHypKWTb2Sz,0.818,0.498,0.384,0.000937,0.13,-10.752,0.0976,79.856,0.25,Sad
4RL77hMWUq35NYnPLXBpih,acoustic,Skinny Love,Birdy,Birdy,https://i.scdn.co/image/ab67616d0000b273cdebae610076f51e8b7b20f4,2011-11-04,https://p.scdn.co/mp3-preview/2ca8fe4572858a3fa8a07333c31df79a05115692?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/4RL77hMWUq35NYnPLXBpih,0.952,0.379,0.29,0.00106,0.118,-8.485,0.051,166.467,0.169,Sad
6jdNp4oX1y3iwXibaXxWph,acoustic,Counting Stars / The Monster (feat. Carly Rose Sonenclar),"Boyce Avenue,Carly Rose","Cover Collaborations, Vol. 3",https://i.scdn.co/image/ab67616d0000b2736031dbad18379ba8c0b069fb,2014-05-30,,https://open.spotify.com/track/6jdNp4oX1y3iwXibaXxWph,0.65,0.73,0.44,0.0,0.142,-4.964,0.035,114.812,0.44,Sad
1u3PLSZ2YkkUBuapHKz29w,acoustic,Best Thing I Never Had (made famous by Beyoncé),Megan & Liz,Best Thing I Never Had - Single,https://i.scdn.co/image/ab67616d0000b2733094b825abe121e996c58f44,2011-07-17,,https://open.spotify.com/track/1u3PLSZ2YkkUBuapHKz29w,0.849,0.601,0.11,0.0,0.25,-13.245,0.0618,142.68,0.382,Sad
6su14iUXShlMI5SnEkwe4J,acoustic,Ho Hey,"Nashville Cast,Lennon & Maisy",Ho Hey,https://i.scdn.co/image/ab67616d0000b273884522cc5e1df4506339d4b5,2013-01-01,,https://open.spotify.com/track/6su14iUXShlMI5SnEkwe4J,0.6,0.687,0.453,0.0,0.0965,-8.267,0.0258,82.987,0.437,Sad
6N001s7hglDhXJyjeXeg4F,acoustic,Why Am I Crying,Molly Sandén,Why am I Crying,https://i.scdn.co/image/ab67616d0000b2736ad22ca07b22b6149cf4fe34,2012-02-24,https://p.scdn.co/mp3-preview/adb376d5d08ce9d2834b60627982f5071056e472?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/6N001s7hglDhXJyjeXeg4F,0.269,0.61,0.346,2.55e-05,0.163,-8.723,0.0337,138.331,0.198,Sad
4jFSBOiJwJ9OmtB7SxHeWv,acoustic,Climax (feat. Ebony Day),ortoPilot,Climax (feat. Ebony Day),https://i.scdn.co/image/ab67616d0000b273df593a7242fc22646daa55d3,2012-04-15,https://p.scdn.co/mp3-preview/c068dc90b4b369a81c57dee48a0a588f8439cb55?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/4jFSBOiJwJ9OmtB7SxHeWv,0.703,0.584,0.351,0.0,0.157,-4.732,0.0426,145.006,0.457,Sad
4KSZnP1VFSaytKufyzNbDO,acoustic,The Power of Love,Gabrielle Aplin,The Power of Love,https://i.scdn.co/image/ab67616d0000b273fed7367d5c7142ff8bac3b88,2012-11-10,,https://open.spotify.com/track/4KSZnP1VFSaytKufyzNbDO,0.892,0.269,0.297,2.51e-05,0.107,-9.903,0.0308,146.589,0.214,Sad
6o6O9tWAgi1ANwKxPaq1R0,acoustic,The A Team,Gavin Mikhail,The A Team,https://i.scdn.co/image/ab67616d0000b2735b3d680879196eeef624f103,2011-08-16,https://p.scdn.co/mp3-preview/76ce86a7920389834120f3e01e722d02b1e598e8?cid=025b3fc46b48490c9d2b54cbf1d12888,https://open.spotify.com/track/6o6O9tWAgi1ANwKxPaq1R0,0.91,0.455,0.375,0.0,0.11,-5.608,0.0441,80.163,0.38,Sad
